Latitude,Longitude,Time,Date,Number of Sats,GPS Speed (Kn),GPS True Heading,GPS Magnetic Variation,HDOP,C Magnetic Heading,C True Heading,Pitch Angle,Roll Angle,C Inside Temp (c),DFS Depth (m),DTB Height (m),Total Water Column (m),Batt Percent,Power Watts,Watt-Hours,Batt Volts,Batt Ampers,Batt State,Time to Empty,Current Step,Dist To Next (m),Next Speed (kn),Vehicle Speed (kn),Motor Speed CMD,Next Heading,Next Long,Next Lat,Next Depth (m),Depth Goal (m),Vehicle State,Error State,Distance to Track (m),Fin Pitch R,Fin Pitch L,Pitch Goal,Fin Yaw T,Fin Yaw B,Yaw Goal,Fin Roll,DVL-Depth (m),DVL -Altitude (m),DVL -Water Column (m),DVL-FixType,DVL-FixQuality,DVL-Temperature,Conductivity (mmhos/cm),Temperature (c),Salinity (ppt),Sound Speed (m/s),Date m/d/y   ,Time hh:mm:ss,Temp C,SpCond mS/cm,Sal ppt,Depth feet,pH,pH mV,Turbid+ NTU,Chl ug/L,BGA-PC cells/mL,ODOsat %,ODO mg/L,Battery volts,ROSEM Command Type
25.912756,-80.13784883,57:31.2,9/18/20,9,0.161,69.05,-7.021243614,1,93.4,87.82,1.23,-5.36,31,0,3.52,3.52,95,21,513.2,16.3,-1.3,D,1586.3,0,8.41,2,0.14,128,48.51,-80.13778585,25.91280611,0,0,1,N,7.983579,64,64,11,5,5,24.45045,0,9999.99,3.53,3.657,2,9,30.8,0,30.79999924,25.73,1537.49052,9/18/20,10:37:47,30.37,40.49,25.73,0.772,8.29,-77.3,-5.1,-1.3,-1555,85.8,5.59,13.2,
25.91275633,-80.13784933,57:32.2,9/18/20,9,0.076,69.05,-7.021243614,1,93.9,88.29,1.45,-6.32,31,0,3.52,3.52,95,21,513.2,16.3,-1.3,D,1586.3,0,8.423,2,0.14,128,48.92,-80.13778585,25.91280611,0,0,1,N,8.015216,66,66,11,5,5,24.49222,0,9999.99,3.53,3.657,2,9,30.8,0,30.79999924,25.73,1537.49052,9/18/20,10:37:47,30.37,40.49,25.73,0.772,8.29,-77.3,-5.1,-1.3,-1555,85.8,5.59,13.2,
25.91275528,-80.13784934,57:33.2,9/18/20,9,0.066,69.05,-7.021243614,1,90.4,85,3.53,0.65,31.1,0.01,3.53,3.54,95,21,513.2,16.3,-1.3,D,1586.3,0,8.5,2,0.01,174,48.33,-80.13778585,25.91280611,0,0,1,N,8.015216,78,78,11,5,5,48.32984,0,9999.99,3.56,3.687,2,9,30.8,0,30.79999924,25.75,1537.51121,9/18/20,10:37:48,30.35,40.51,25.75,0.776,8.28,-76.9,-4.4,-1.2,-347,85.4,5.57,12.9,
25.91275563,-80.1378479,57:34.2,9/18/20,9,0.342,69.05,-7.021243614,1,91.3,85.85,1.05,-7.73,31.1,0.01,3.51,3.52,95,26,513.1,16.3,-1.6,D,1296.5,0,8.368,2,0.02,174,47.87,-80.13778585,25.91280611,0,0,1,N,8.015216,62,62,11,5,5,47.8821,0,9999.99,3.52,3.647,2,9,30.8,0,30.79999924,25.78,1537.54309,9/18/20,10:37:50,30.35,40.55,25.78,0.788,8.28,-76.8,-5.7,-5.5,-2209,84.7,5.53,13.2,
25.91275713,-80.1378428,57:35.2,9/18/20,9,0.975,69.05,-7.021243614,1,90.9,85.47,0.83,-3.09,31.1,0,3.5,3.51,95,26,513.1,16.3,-1.6,D,1296.5,0,7.881,2,0.23,174,46.28,-80.13778585,25.91280611,0,0,1,N,8.015216,63,63,11,5,5,46.33528,0,9999.99,3.51,3.637,2,9,30.8,0,30.79999924,25.78,1537.54309,9/18/20,10:37:50,30.35,40.55,25.78,0.788,8.28,-76.8,-5.7,-5.5,-2209,84.7,5.53,13.2,
25.91275924,-80.13783485,57:36.2,9/18/20,9,1.208,69.05,-7.021243614,1,87.2,81.98,1.23,-3.5,31.1,0,3.5,3.5,95,26,513.1,16.3,-1.6,D,1296.5,0,7.154,2,0.55,174,43.24,-80.13778585,25.91280611,0,0,1,N,8.015216,64,64,11,5,5,43.41671,0,9999.99,3.51,3.637,2,9,30.8,0,30.79999924,25.71,1537.46964,9/18/20,10:37:51,30.35,40.46,25.71,0.829,8.29,-77.5,-5.2,-1.8,-2230,84.4,5.51,13.1,
25.912763,-80.13782584,57:37.2,9/18/20,9,1.463,79.31,-7.021243614,1,82.6,77.62,1.27,-1.8,31.1,0,3.95,3.95,95,40,513.1,16.2,-2.4,D,866.4,0,6.243,2,1.14,174,39.84,-80.13778585,25.91280611,0,0,1,N,8.015216,65,65,11,5,5,40.24407,0,9999.99,3.96,4.087,2,9,30.8,0,30.79999924,25.73,1537.49028,9/18/20,10:37:52,30.32,40.48,25.73,0.826,8.3,-77.8,-3.4,-3,-4379,84,5.48,13,
25.91276361,-80.1378173,57:38.2,9/18/20,9,1.613,79.02,-7.021243614,1,74.3,69.67,1.69,-0.34,31.1,0,3.96,3.96,95,40,513.1,16.2,-2.4,D,866.4,0,5.677,2,1.14,174,33.65,-80.13778585,25.91280611,0,0,1,N,8.015216,67,67,11,5,5,34.02533,0,9999.99,3.97,4.097,2,9,30.8,0,30.79999924,25.74,1537.5007,9/18/20,10:37:53,30.29,40.49,25.74,0.805,8.28,-76.7,-4,-4.9,-2495,83.5,5.46,13.3,
25.91276687,-80.13780706,57:39.2,9/18/20,10,1.766,76.26,-7.021243614,1,65.3,60.94,3.05,-1.22,31.1,0.01,4.02,4.03,95,40,513.1,16.2,-2.4,D,866.4,0,4.851,2,1.42,174,25.93,-80.13778585,25.91280611,0,0,1,N,8.015216,75,75,11,5,5,26.43212,0,9999.99,4.05,4.177,2,9,30.8,0,30.79999924,25.76,1537.52167,9/18/20,10:37:55,30.23,40.51,25.76,0.799,8.28,-77,-5,-3.2,-1876,82.8,5.41,13.1,
25.91277128,-80.13780091,57:40.3,9/18/20,10,1.766,76.26,-7.021243614,1,55.8,51.59,0.57,8,31.1,0.01,4.14,4.16,95,40,513.1,16.2,-2.4,D,866.4,1,153.866,3,1.42,195,155.74,-80.13716883,25.91150973,1.00584,1.00584,1,N,3.136822,213,213,-15.3381,250,250,135.4126,0,9999.99,4.15,4.277,0,0,30.8,0,30.79999924,25.76,1537.52167,9/18/20,10:37:55,30.23,40.51,25.76,0.799,8.28,-77,-5,-3.2,-1876,82.8,5.41,13.1,
