Latitude,Longitude,Time,Date,Number of Sats,GPS Speed (Kn),GPS True Heading,GPS Magnetic Variation,HDOP,C Magnetic Heading,C True Heading,Pitch Angle,Roll Angle,C Inside Temp (c),DFS Depth (m),DTB Height (m),Total Water Column (m),Batt Percent,Power Watts,Watt-Hours,Batt Volts,Batt Ampers,Batt State,Time to Empty,Current Step,Dist To Next (m),Next Speed (kn),Vehicle Speed (kn),Motor Speed CMD,Next Heading,Next Long,Next Lat,Next Depth (m),Depth Goal (m),Vehicle State,Error State,Distance to Track (m),Fin Pitch R,Fin Pitch L,Pitch Goal,Fin Yaw T,Fin Yaw B,Yaw Goal,Fin Roll,DVL-Depth (m),DVL -Altitude (m),DVL -Water Column (m),DVL-FixType,DVL-FixQuality,DVL-Temperature,Conductivity (mmhos/cm),Temperature (c),Salinity (ppt),Sound Speed (m/s),Date m/d/y   ,Time hh:mm:ss,Temp C,SpCond mS/cm,Sal ppt,Depth feet,pH,pH mV,Turbid+ NTU,Chl ug/L,BGA-PC cells/mL,ODOsat %,ODO mg/L,Battery volts,ROSEM Command Type
25.91275067,-80.1378505,57:06.6,9/18/20,8,0.103,105.25,-7.021242762,1.03,80.5,75.62,1.35,-1.99,36.9,0.36,3.43,3.79,91,23,493.5,16.1,-1.4,D,1426,0,9.101,2,1.54,128,56.93,-80.13777424,25.91279533,0,0,1,N,8.606048,65,65,11,52,52,74.85973,0,9999.99,3.44,3.567,2,9,32.2,0,32.20000076,26.38,1541.02938,9/18/20,11:37:22,30.66,41.41,26.38,0.911,8.3,-78.3,-4.6,-5.8,-2308,76.5,4.95,12.9,
25.91275067,-80.1378505,57:07.7,9/18/20,8,0.103,105.25,-7.021242762,1.03,80.2,75.33,1.06,-4.01,36.9,0.37,3.43,3.81,91,23,493.5,16.1,-1.4,D,1426,0,9.101,2,1.54,128,56.93,-80.13777424,25.91279533,0,0,1,N,8.606048,90,90,11,123,123,56.93035,0,9999.99,3.44,3.567,2,9,32.2,0,32.20000076,26.38,1541.02878,9/18/20,11:37:23,30.66,41.41,26.38,0.9,8.3,-78.3,-4.6,0.2,-704,76.5,4.95,13.1,
25.91275067,-80.1378505,57:08.7,9/18/20,8,0.103,105.25,-7.021242762,1.03,77.8,73.03,3,0.03,36.8,0.37,3.43,3.8,91,23,493.5,16.1,-1.4,D,1426,0,9.101,2,1.54,128,56.93,-80.13777424,25.91279533,0,0,1,N,8.606048,90,90,11,123,123,56.93035,0,9999.99,3.45,3.577,2,9,32.2,0,32.20000076,26.38,1541.02878,9/18/20,11:37:23,30.66,41.41,26.38,0.9,8.3,-78.3,-4.6,0.2,-704,76.5,4.95,13.1,
25.91275067,-80.1378505,57:09.7,9/18/20,9,0.103,105.25,-7.021242762,1.03,78.3,73.51,1.17,-0.75,36.8,0.36,3.48,3.84,91,27,493.5,16.1,-1.7,D,1198.1,0,9.101,2,1.54,128,56.93,-80.13777424,25.91279533,0,0,1,N,8.606048,90,90,11,123,123,56.93035,0,9999.99,3.49,3.617,2,9,32.2,0,32.20000076,26.38,1541.02909,9/18/20,11:37:24,30.66,41.41,26.38,0.909,8.3,-78.1,-3.1,-3.2,-1734,76.5,4.95,13,
25.91275067,-80.1378505,57:10.7,9/18/20,9,0.103,105.25,-7.021242762,1.03,77.9,73.13,1.85,-1.62,36.8,0.37,3.54,3.9,91,27,493.5,16.1,-1.7,D,1198.1,0,9.101,2,1.54,128,56.93,-80.13777424,25.91279533,0,0,1,N,8.606048,90,90,11,123,123,56.93035,0,9999.99,3.55,3.677,2,9,32.2,0,32.20000076,26.38,1541.02821,9/18/20,11:37:26,30.65,41.41,26.38,0.938,8.3,-77.9,-3.3,0.8,-2817,76.6,4.95,13,
25.91275067,-80.1378505,57:11.7,9/18/20,9,0.103,105.25,-7.021242762,1.03,78.9,74.09,0.83,-0.35,36.8,0.37,3.65,4.02,91,27,493.5,16.1,-1.7,D,1198.1,0,9.101,2,1.54,128,56.93,-80.13777424,25.91279533,0,0,1,N,8.606048,90,90,11,123,123,56.93035,0,9999.99,3.66,3.787,2,9,32.2,0,32.20000076,26.38,1541.02821,9/18/20,11:37:26,30.65,41.41,26.38,0.938,8.3,-77.9,-3.3,0.8,-2817,76.6,4.95,13,
25.91275917,-80.13783133,57:12.7,9/18/20,9,1.651,77.06,-7.021242485,0.98,76.3,71.59,1,0.34,36.8,0.37,3.81,4.18,91,40,493.5,16.1,-2.5,D,809.8,0,6.984,2,1.54,174,54.85,-80.13777424,25.91279533,0,0,1,N,8.606048,63,63,11,68,68,56.93035,0,9999.99,3.82,3.947,2,9,32.2,0,32.20000076,26.36,1541.00865,9/18/20,11:37:27,30.64,41.39,26.36,0.927,8.3,-78.3,-3.6,-3.4,-2154,76.6,4.96,12.9,
25.91276245,-80.13782238,57:13.7,9/18/20,9,1.685,73.13,-7.021242485,0.98,74.2,69.57,0.32,1.32,36.7,0.28,3.91,4.19,91,40,493.5,16.1,-2.5,D,809.8,0,6.045,2,1.32,174,52.79,-80.13777424,25.91279533,0,0,1,N,8.606048,59,59,11,66,66,54.36676,0,9999.99,3.92,4.047,2,9,32.2,0,32.20000076,26.39,1541.03905,9/18/20,11:37:29,30.66,41.42,26.39,0.939,8.3,-78.1,-3.4,-8.3,-4795,76.6,4.95,13.1,
25.9127662,-80.13781363,57:14.7,9/18/20,9,1.755,66.73,-7.021242485,0.98,70.3,65.8,1.36,-0.44,36.7,0,4,4.01,91,39,493.4,16.1,-2.4,D,836.2,0,5.101,2,1.5,174,50.58,-80.13777424,25.91279533,0,0,1,N,8.606048,65,65,11,68,68,51.31657,0,9999.99,4.01,4.137,2,9,32.2,0,32.20000076,26.39,1541.03905,9/18/20,11:37:29,30.66,41.42,26.39,0.939,8.3,-78.1,-3.4,-8.3,-4795,76.6,4.95,13.1,
25.91277062,-80.13780507,57:15.7,9/18/20,9,1.799,62.88,-7.021242485,0.98,66.4,62.01,1.48,1.03,36.8,0.01,4.1,4.11,91,39,493.4,16.1,-2.4,D,836.2,1,32.998,2,1.65,174,150.57,-80.13764294,25.91251217,0,0,1,N,4.212893,68,68,11,250,250,128.6097,0,9999.99,4.11,4.237,2,9,32.2,0,32.20000076,26.38,1540.99712,9/18/20,11:37:30,30.69,41.42,26.38,0.978,8.3,-78.1,-3.9,0.6,-2921,76.6,4.95,13,
