Latitude,Longitude,Time,Date,Number of Sats,GPS Speed (Kn),GPS True Heading,GPS Magnetic Variation,HDOP,C Magnetic Heading,C True Heading,Pitch Angle,Roll Angle,C Inside Temp (c),DFS Depth (m),DTB Height (m),Total Water Column (m),Batt Percent,Power Watts,Watt-Hours,Batt Volts,Batt Ampers,Batt State,Time to Empty,Current Step,Dist To Next (m),Next Speed (kn),Vehicle Speed (kn),Motor Speed CMD,Next Heading,Next Long,Next Lat,Next Depth (m),Depth Goal (m),Vehicle State,Error State,Distance to Track (m),Fin Pitch R,Fin Pitch L,Pitch Goal,Fin Yaw T,Fin Yaw B,Yaw Goal,Fin Roll,DVL-Depth (m),DVL -Altitude (m),DVL -Water Column (m),DVL-FixType,DVL-FixQuality,DVL-Temperature,Conductivity (mmhos/cm),Temperature (c),Salinity (ppt),Sound Speed (m/s),Date m/d/y   ,Time hh:mm:ss,Temp C,SpCond mS/cm,Sal ppt,Depth feet,pH,pH mV,Turbid+ NTU,Chl ug/L,BGA-PC cells/mL,ODOsat %,ODO mg/L,Battery volts,ROSEM Command Type
25.91218133,-80.13745333,06:11.7,9/18/20,10,0.031,159.44,-7.021401481,0.9,147.1,137.8,0.82,-2.86,35.8,0,4.22,4.23,91,21,494.4,16.1,-1.3,D,1551,0,75.442,2,0.05,128,334.82,-80.13777424,25.91279533,0,0,1,N,3.158372,62,62,11,5,5,330.7705,0,9999.99,4.24,4.367,2,9,31.8,0,31.79999924,26.7,1540.52925,9/18/20,11:46:27,30.62,41.86,26.7,0.948,8.29,-77.4,-3.3,-6.3,-790,77.8,5.03,13.2,
25.91218139,-80.13745367,06:12.7,9/18/20,10,0.054,159.44,-7.021401481,0.9,147.8,138.47,1.29,-3.56,35.8,0,4.21,4.22,91,21,494.4,16.1,-1.3,D,1551,0,75.422,2,0.08,174,334.84,-80.13777424,25.91279533,0,0,1,N,3.127634,63,63,11,5,5,334.8445,0,9999.99,4.22,4.347,0,0,31.8,0,31.79999924,26.69,1540.51896,9/18/20,11:46:28,30.62,41.85,26.69,0.965,8.31,-78.8,-3.8,-7.1,-2472,77.9,5.03,12.9,
25.91218164,-80.13745402,06:13.8,9/18/20,9,0.12,159.44,-7.021401481,0.99,144.8,135.63,1.86,1.75,35.8,0,4.22,4.23,91,21,494.4,16.1,-1.3,D,1551,0,75.382,2,0.09,128,334.86,-80.13777424,25.91279533,0,0,1,N,3.127634,90,90,11,123,123,334.8592,0,9999.99,4.24,4.367,0,0,31.8,0,31.79999924,26.7,1540.52924,9/18/20,11:46:29,30.62,41.86,26.7,0.955,8.31,-78.9,-4.9,-1,-964,78,5.04,13.1,
25.9121805,-80.13745237,06:14.7,9/18/20,9,0.539,159.44,-7.021401481,0.99,146.5,137.24,0.99,-4.21,35.7,0,4.2,4.2,91,21,494.4,16.1,-1.3,D,1551,0,75.567,2,0.07,128,334.79,-80.13777424,25.91279533,0,0,1,N,3.127634,90,90,11,123,123,334.7881,0,9999.99,4.21,4.337,2,9,31.8,0,31.79999924,26.69,1540.5188,9/18/20,11:46:30,30.62,41.85,26.69,0.986,8.31,-78.7,-5.3,-1.6,-3313,77.9,5.04,13.1,
25.91217779,-80.13745004,06:15.7,9/18/20,9,0.84,148.59,-7.021401481,0.99,144.6,135.44,1.11,-0.01,35.7,0,4.2,4.2,91,37,494.5,16.1,-2.3,D,878.7,0,75.939,2,0.29,128,334.72,-80.13777424,25.91279533,0,0,1,N,3.127634,90,90,11,123,123,334.7293,0,9999.99,4.21,4.337,2,9,31.8,0,31.79999924,26.69,1540.51866,9/18/20,11:46:31,30.62,41.85,26.69,1.045,8.31,-78.7,-4.5,-8.4,-336,77.9,5.04,13.2,
25.91217314,-80.13744623,06:16.8,9/18/20,9,1.198,145.96,-7.021401481,0.99,142.3,133.28,0.84,-1.37,35.8,0,4.21,4.21,91,37,494.5,16.1,-2.3,D,878.7,0,76.569,2,0.6,128,334.63,-80.13777424,25.91279533,0,0,1,N,3.127634,90,90,11,123,123,334.6435,0,9999.99,4.22,4.347,2,9,31.8,0,31.79999924,26.69,1540.51864,9/18/20,11:46:32,30.62,41.85,26.69,0.957,8.31,-78.4,-3.7,-2.8,-1198,78,5.04,13.1,
25.91216813,-80.13744107,06:17.8,9/18/20,9,1.406,141.01,-7.021401481,0.99,137.5,128.78,0.57,0.78,35.7,0,4.24,4.24,91,37,494.5,16.1,-2.3,D,878.7,2,12.875,2,0.9,128,336.97,-80.13749144,25.91227469,0,0,1,N,1.548368,90,90,11,123,123,6.230633,0,9999.99,4.24,4.367,2,9,31.8,0,31.79999924,26.72,1540.54967,9/18/20,11:46:33,30.62,41.89,26.72,1.028,8.31,-78.9,-4.5,0.4,-4029,78,5.04,13.1,
25.9121629,-80.13743539,06:18.8,9/18/20,9,1.612,138.07,-7.021401481,0.99,130,121.8,1.99,2.25,35.8,0.01,4.26,4.26,91,39,494.5,16.1,-2.4,D,848.7,2,13.636,2,1.07,128,335.73,-80.13749144,25.91227469,0,0,1,N,1.359771,90,90,11,123,123,334.8826,0,9999.99,4.27,4.397,2,9,31.8,0,31.79999924,26.73,1540.56011,9/18/20,11:46:34,30.63,41.91,26.73,1.002,8.32,-79.1,-4.8,-1.3,-3710,78,5.04,13.2,
25.91215838,-80.13742835,06:19.8,9/18/20,10,1.49,133.65,-7.021401481,0.99,121.9,114.3,2.13,1.99,35.8,0.01,4.26,4.27,91,39,494.5,16.1,-2.4,D,848.7,2,14.391,2,1.23,128,333.99,-80.13749144,25.91227469,0,0,1,N,1.007744,90,90,11,123,123,333.4375,0,9999.99,4.28,4.407,2,9,31.8,0,31.79999924,26.77,1540.6015,9/18/20,11:46:35,30.65,41.96,26.77,0.959,8.31,-78.7,-4.9,-1.8,-3138,78,5.04,13.1,
25.91215474,-80.1374213,06:20.9,9/18/20,10,1.571,126.36,-7.021401481,0.99,111.4,104.58,2.26,0.63,35.7,0,4.29,4.29,91,39,494.5,16.1,-2.4,D,848.7,2,15.07,2,1.35,128,332.26,-80.13749144,25.91227469,0,0,1,N,0.6186883,90,90,11,123,123,332.0647,0,9999.99,4.31,4.437,2,9,31.8,0,31.79999924,26.83,1540.66282,9/18/20,11:46:37,30.7,42.05,26.83,0.972,8.31,-78.8,-3,-4.2,-2323,78.1,5.04,13,
25.91215231,-80.13741365,06:21.9,9/18/20,10,1.539,119.68,-7.021401481,0.99,101.5,95.4,2.68,-0.24,35.8,0,4.31,4.31,91,39,494.5,16.1,-2.4,D,848.7,2,15.675,2,1.44,128,330.24,-80.13749144,25.91227469,0,0,1,N,0.1028148,90,90,11,123,123,330.4561,0,9999.99,4.33,4.457,2,9,31.8,0,31.79999924,26.88,1540.71443,9/18/20,11:46:38,30.72,42.12,26.88,0.972,8.31,-78.9,-4.8,-2.3,-1783,78.2,5.04,13,
25.91215117,-80.13740587,06:22.9,9/18/20,10,1.57,110.58,-7.021401481,0.99,91.5,86.04,2.16,2.41,35.7,0.01,4.33,4.34,91,37,494.6,16.1,-2.2,D,897.7,2,16.183,2,1.5,128,328.07,-80.13749144,25.91227469,0,0,1,N,0.4970656,90,90,11,123,123,328.7351,0,9999.99,4.36,4.487,2,9,31.8,0,31.79999924,26.88,1540.71443,9/18/20,11:46:38,30.72,42.12,26.88,0.972,8.31,-78.9,-4.8,-2.3,-1783,78.2,5.04,13,
25.91215143,-80.13739832,06:23.9,9/18/20,10,1.619,98.97,-7.021401481,0.99,81.4,76.47,1.63,-5.36,35.8,0.01,4.38,4.39,91,30,494.6,16.1,-1.8,D,1096.1,2,16.571,2,1.52,128,325.8,-80.13749144,25.91227469,0,0,1,N,1.148671,90,90,11,123,123,326.9578,0,9999.99,4.4,4.527,2,9,31.8,0,31.79999924,26.9,1540.73538,9/18/20,11:46:39,30.77,42.14,26.9,0.97,8.31,-78.7,-4.1,-2.6,-1618,78.3,5.04,13.2,
25.91215204,-80.13739229,06:24.9,9/18/20,10,1.186,94.84,-7.021401481,0.99,73.3,68.7,2.73,-0.7,35.7,0,4.44,4.44,91,30,494.6,16.1,-1.8,D,1096.1,2,16.863,2,1.41,128,323.98,-80.13749144,25.91227469,0,0,1,N,1.735053,90,90,11,123,123,325.4129,0,9999.99,4.45,4.577,2,9,31.8,0,31.79999924,26.9,1540.73494,9/18/20,11:46:41,30.83,42.14,26.9,0.944,8.31,-78.8,-4.6,-1.5,-1346,78.3,5.04,13.1,
25.91215415,-80.13738701,06:25.9,9/18/20,10,0.874,81.96,-7.021401481,0.99,65.4,61.03,1.89,0.11,35.7,0,4.43,4.44,91,30,494.6,16.1,-1.8,D,1096.1,2,16.992,2,1.25,128,322.07,-80.13749144,25.91227469,0,0,1,N,2.318973,68,68,11,5,5,323.8576,0,9999.99,4.46,4.587,2,9,31.8,0,31.79999924,26.9,1540.73494,9/18/20,11:46:41,30.83,42.14,26.9,0.944,8.31,-78.8,-4.6,-1.5,-1346,78.3,5.04,13.1,
25.91215701,-80.13738391,06:26.9,9/18/20,10,0.796,64.05,-7.021401481,0.99,59.8,55.54,1.95,-1.23,35.7,0,4.43,4.44,91,30,494.6,16.1,-1.8,D,1096.1,2,16.938,2,1.13,128,320.59,-80.13749144,25.91227469,0,0,1,N,2.752468,69,69,11,5,5,322.6384,0,9999.99,4.45,4.577,2,9,31.8,0,31.79999924,26.88,1540.71443,9/18/20,11:46:42,30.85,42.12,26.88,0.958,8.32,-79.2,-3.5,-4.7,-3147,78.3,5.04,13.1,
25.91215993,-80.13738215,06:27.9,9/18/20,10,0.677,64.05,-7.021401481,0.99,53.5,49.31,1.27,-1.2,35.8,0,4.44,4.45,91,23,494.7,16.1,-1.4,D,1424.3,2,16.803,2,1,128,319.42,-80.13749144,25.91227469,0,0,1,N,3.077201,90,90,11,123,123,321.663,0,9999.99,4.46,4.587,2,9,31.8,0,31.79999924,26.85,1540.68353,9/18/20,11:46:44,30.86,42.08,26.85,0.932,8.28,-76.8,-3.4,-2.8,-4931,78.4,5.04,13,
25.91216217,-80.13737963,06:28.9,9/18/20,10,0.637,64.05,-7.021401481,0.99,47.3,43.12,1.26,-2.12,35.8,0,4.45,4.45,91,23,494.7,16.1,-1.4,D,1424.3,2,16.781,2,0.91,128,318.21,-80.13749144,25.91227469,0,0,1,N,3.425833,66,66,11,5,5,320.6632,0,9999.99,4.46,4.587,2,9,31.8,0,31.79999924,26.85,1540.68353,9/18/20,11:46:44,30.86,42.08,26.85,0.932,8.28,-76.8,-3.4,-2.8,-4931,78.4,5.04,13,
25.91216471,-80.1373766,06:29.9,9/18/20,10,0.654,58.11,-7.021401481,0.9,42.4,38.2,1.92,-3,35.7,0,4.45,4.45,91,22,494.7,16.1,-1.4,D,1455.4,2,16.778,2,0.81,128,316.8,-80.13749144,25.91227469,0,0,1,N,3.836229,69,69,11,5,5,319.4881,0,9999.99,4.46,4.587,2,9,31.8,0,31.79999924,26.85,1540.68333,9/18/20,11:46:45,30.86,42.08,26.85,0.932,8.31,-79,-4,-7.8,-951,78.4,5.04,13.1,
25.91216721,-80.13737421,06:30.9,9/18/20,10,0.622,58.11,-7.021401481,0.9,37.4,33.16,1.72,-2.52,35.8,0,4.47,4.47,91,22,494.7,16.1,-1.4,D,1455.4,2,16.742,2,0.77,128,315.55,-80.13749144,25.91227469,0,0,1,N,4.181469,68,68,11,5,5,318.4655,0,9999.99,4.48,4.607,2,9,31.9,0,31.89999962,26.83,1540.86255,9/18/20,11:46:47,30.87,42.05,26.83,0.924,8.32,-79.3,-3.7,-3.3,-1432,78.5,5.05,13.2,
25.91216967,-80.13737195,06:31.9,9/18/20,10,0.65,58.11,-7.021401481,0.9,34.2,29.91,1.72,-2.13,35.8,0,4.46,4.47,91,22,494.7,16.1,-1.4,D,1455.4,2,16.709,2,0.71,128,314.34,-80.13749144,25.91227469,0,0,1,N,4.522883,67,67,11,5,5,317.4335,0,9999.99,4.48,4.607,2,9,31.9,0,31.89999962,26.83,1540.86255,9/18/20,11:46:47,30.87,42.05,26.83,0.924,8.32,-79.3,-3.7,-3.3,-1432,78.5,5.05,13.2,
