Latitude,Longitude,Time,Date,Number of Sats,GPS Speed (Kn),GPS True Heading,GPS Magnetic Variation,HDOP,C Magnetic Heading,C True Heading,Pitch Angle,Roll Angle,C Inside Temp (c),DFS Depth (m),DTB Height (m),Total Water Column (m),Batt Percent,Power Watts,Watt-Hours,Batt Volts,Batt Ampers,Batt State,Time to Empty,Current Step,Dist To Next (m),Next Speed (kn),Vehicle Speed (kn),Motor Speed CMD,Next Heading,Next Long,Next Lat,Next Depth (m),Depth Goal (m),Vehicle State,Error State,Distance to Track (m),Fin Pitch R,Fin Pitch L,Pitch Goal,Fin Yaw T,Fin Yaw B,Yaw Goal,Fin Roll,DVL-Depth (m),DVL -Altitude (m),DVL -Water Column (m),DVL-FixType,DVL-FixQuality,DVL-Temperature,Conductivity (mmhos/cm),Temperature (c),Salinity (ppt),Sound Speed (m/s),Date m/d/y   ,Time hh:mm:ss,Temp C,SpCond mS/cm,Sal ppt,Depth feet,pH,pH mV,Turbid+ NTU,Chl ug/L,BGA-PC cells/mL,ODOsat %,ODO mg/L,Battery volts,ROSEM Command Type
25.8459855,-80.1763955,18:50.8,10/4/20,9,0.538,209.91,-6.993015135,1.02,141,132.09,3.52,-3.23,39.9,0,0.16,0.16,93,21,506.3,16.2,-1.2,D,1621.7,0,21.43,2,0,128,288.38,-80.17659872,25.84604627,0,0,1,N,2.90813,78,78,11,250,250,308.891,0,9999.99,999.99,999.99,0,0,33.4,0,33.40000153,4.35,1520.95792,10/4/20,16:58:56,28.15,7.906,4.35,1.084,7.82,-49.1,-1.3,-8.4,-1543,47.2,3.6,13.3,
25.84598654,-80.17639625,18:51.9,10/4/20,9,0.331,209.91,-6.993015135,1.02,135.9,127.32,3.52,-2.42,39.8,0,0.24,0.24,93,21,506.3,16.2,-1.2,D,1621.7,0,21.323,2,0.26,174,288.15,-80.17659872,25.84604627,0,0,1,N,2.90813,78,78,11,250,250,288.3803,0,9999.99,0.27,0.397,2,9,33.4,0,33.40000153,4.35,1520.95792,10/4/20,16:58:56,28.15,7.906,4.35,1.084,7.82,-49.1,-1.3,-8.4,-1543,47.2,3.6,13.3,
25.8459886,-80.17639647,18:52.9,10/4/20,9,0.482,209.91,-6.993015135,1.02,121.9,114.32,5.02,3.26,39.8,0.02,0.24,0.26,93,21,506.3,16.2,-1.2,D,1621.7,0,21.231,2,0.32,174,287.58,-80.17659872,25.84604627,0,0,1,N,2.90813,86,86,11,250,250,287.5832,0,9999.99,0.27,0.397,2,9,33.4,0,33.40000153,4.33,1520.93872,10/4/20,16:58:57,28.15,7.864,4.33,1.048,7.82,-49,-0.9,-1.6,-3951,46.7,3.56,13.3,
25.84598469,-80.17639562,18:53.9,10/4/20,7,1.007,209.91,-6.993015135,1.13,148.8,139.44,2.66,4.44,39.8,0.02,0.92,0.94,93,34,506.3,16.2,-2.1,D,1000.9,0,21.447,2,0.34,174,288.62,-80.17659872,25.84604627,0,0,1,N,2.90813,73,73,11,250,250,288.6281,0,9999.99,0.95,1.077,2,9,33.3,0,33.40000153,4.33,1520.94149,10/4/20,16:58:58,28.15,7.865,4.33,1.059,7.83,-49.2,-2.5,-1.3,-966,46.2,3.52,13.4,
25.8459804,-80.17639647,18:54.9,10/4/20,9,0.854,209.91,-6.993015135,1.13,152.7,143.15,0.08,-0.46,39.8,0.03,0.96,0.99,93,34,506.3,16.2,-2.1,D,1000.9,0,21.524,2,0.55,174,289.89,-80.17659872,25.84604627,0,0,1,N,2.90813,57,57,11,250,250,289.8454,0,9999.99,0.97,1.097,2,9,33.3,0,33.29999924,4.31,1520.71615,10/4/20,16:59:00,28.15,7.838,4.31,1.094,7.82,-48.6,-2.1,-3.8,-4185,45.2,3.45,13.4,
25.84597536,-80.17639359,18:55.9,10/4/20,9,1.339,209.91,-6.993015135,1.09,154.1,144.49,-0.31,-5.77,39.9,0.07,0.95,1.02,93,34,506.3,16.2,-2.1,D,1000.9,0,21.99,2,0.72,174,291.01,-80.17659872,25.84604627,0,0,1,N,2.90813,52,52,11,250,250,290.9363,0,9999.99,0.94,1.067,2,9,33.3,0,33.29999924,4.31,1520.71615,10/4/20,16:59:00,28.15,7.838,4.31,1.094,7.82,-48.6,-2.1,-3.8,-4185,45.2,3.45,13.4,
25.84596363,-80.17639613,18:56.9,10/4/20,9,1.038,209.91,-6.993015135,1.02,139.4,130.59,2.98,7.09,39.9,0.08,0.97,1.05,93,41,506.2,16.1,-2.5,D,817.3,0,22.259,2,0.71,174,294.38,-80.17659872,25.84604627,0,0,1,N,2.90813,75,75,11,250,250,294.3576,0,9999.99,0.99,1.117,2,9,33.3,0,33.29999924,4.31,1520.72521,10/4/20,16:59:01,28.15,7.83,4.31,1.463,7.81,-48,-1.1,-4.4,-2050,44.7,3.41,13.3,
25.84595544,-80.17639266,18:57.9,10/4/20,9,1.458,143.1,-6.993015135,1.02,135.3,126.76,6.49,0.22,39.8,0.07,1.04,1.11,93,41,506.2,16.1,-2.5,D,817.3,0,22.962,2,0.71,174,296.1,-80.17659872,25.84604627,0,0,1,N,2.90813,96,96,11,250,250,296.0836,0,9999.99,1.1,1.227,2,9,33.2,0,33.29999924,4.32,1520.7346,10/4/20,16:59:03,28.14,7.841,4.32,1.368,7.82,-48.6,-1.3,-2.4,-1388,43.8,3.34,13.3,
25.84595191,-80.17638525,18:58.9,10/4/20,9,1.434,136.5,-6.993015135,1.02,140.1,131.24,2.81,2.01,39.8,0.02,1.16,1.18,93,41,506.2,16.1,-2.5,D,817.3,0,23.8,2,1.31,174,296.16,-80.17659872,25.84604627,0,0,1,N,2.90813,74,74,11,250,250,296.1256,0,9999.99,1.2,1.327,2,9,33.2,0,33.29999924,4.32,1520.7346,10/4/20,16:59:03,28.14,7.841,4.32,1.368,7.82,-48.6,-1.3,-2.4,-1388,43.8,3.34,13.3,
25.84594946,-80.17637862,18:59.9,10/4/20,9,1.977,131.22,-6.993015135,1.05,145.9,136.7,2.71,2.65,39.8,0,1.25,1.25,93,41,506.2,16.1,-2.5,D,817.3,0,24.516,2,1.49,174,296.05,-80.17659872,25.84604627,0,0,1,N,2.90813,73,73,11,250,250,295.9926,0,9999.99,1.27,1.397,2,9,33.1,0,33.20000076,4.24,1520.43808,10/4/20,16:59:04,28.14,7.707,4.24,1.02,7.81,-48.3,-1.8,-9,-2680,43.3,3.3,13.4,
