Latitude,Longitude,Time,Date,Number of Sats,GPS Speed (Kn),GPS True Heading,GPS Magnetic Variation,HDOP,C Magnetic Heading,C True Heading,Pitch Angle,Roll Angle,C Inside Temp (c),DFS Depth (m),DTB Height (m),Total Water Column (m),Batt Percent,Power Watts,Watt-Hours,Batt Volts,Batt Ampers,Batt State,Time to Empty,Current Step,Dist To Next (m),Next Speed (kn),Vehicle Speed (kn),Motor Speed CMD,Next Heading,Next Long,Next Lat,Next Depth (m),Depth Goal (m),Vehicle State,Error State,Distance to Track (m),Fin Pitch R,Fin Pitch L,Pitch Goal,Fin Yaw T,Fin Yaw B,Yaw Goal,Fin Roll,DVL-Depth (m),DVL -Altitude (m),DVL -Water Column (m),DVL-FixType,DVL-FixQuality,DVL-Temperature,Conductivity (mmhos/cm),Temperature (c),Salinity (ppt),Sound Speed (m/s),Date m/d/y   ,Time hh:mm:ss,Temp C,SpCond mS/cm,Sal ppt,Depth feet,pH,pH mV,Turbid+ NTU,Chl ug/L,BGA-PC cells/mL,ODOsat %,ODO mg/L,Battery volts,ROSEM Command Type
25.91278567,-80.1378455,57:20.1,1/30/21,7,0.049,8.99,-7.05681789,1.27,173.8,163.59,1.07,-2.37,23.9,0.01,3.14,3.16,82,20,443.5,15.7,-1.3,D,1398.9,0,4.053,2,0,128,158.45,-80.13783061,25.91275176,0,0,1,N,2.722603,63,63,11,250,250,269.965,0,9999.99,3.15,3.277,2,9,23,0,23,36.14,1530.66456,1/30/21,13:36:16,21.96,54.52,36.14,1.046,8.5,-87.4,-2.4,-2.9,-1928,96.7,6.86,13.1,
25.91278617,-80.13784533,57:21.1,1/30/21,7,0.065,8.99,-7.05681789,1.27,173.3,163.09,0.56,-3.28,23.9,0.02,3.15,3.17,82,20,443.5,15.7,-1.3,D,1398.9,0,4.053,2,0,128,158.45,-80.13783061,25.91275176,0,0,1,N,2.722603,60,60,11,250,250,269.965,0,9999.99,3.15,3.277,2,9,23,0,23,36.14,1530.66447,1/30/21,13:36:17,21.96,54.52,36.14,1.066,8.5,-87.3,-2.3,-5.1,-4038,96.6,6.86,13.2,
25.91278652,-80.13784616,57:22.1,1/30/21,7,0.076,8.99,-7.05681789,1.27,173,162.8,2.46,0.07,23.9,0.01,3.14,3.15,82,22,443.5,15.7,-1.4,D,1286.6,1,39.527,2,0.02,174,135.94,-80.13757133,25.91253107,0,0,1,N,1.737314,69,69,11,40,40,140.7478,0,9999.99,3.16,3.287,2,9,23,0,23,36.16,1530.6862,1/30/21,13:36:19,21.96,54.55,36.16,1.066,8.5,-87.3,-4.1,-4.5,-2357,96.2,6.82,13.1,
25.91278476,-80.13784613,57:23.1,1/30/21,7,0.462,8.99,-7.05681789,1.27,173.3,163.09,0.89,0.96,23.9,0.01,3.14,3.15,82,22,443.5,15.7,-1.4,D,1286.6,1,39.385,2,0.15,174,135.75,-80.13757133,25.91253107,0,0,1,N,1.602537,62,62,11,36,36,140.2727,0,9999.99,3.15,3.277,2,9,23,0,23,36.17,1530.69695,1/30/21,13:36:20,21.96,54.57,36.17,1.07,8.49,-87.1,-2.8,-0.7,-4573,96,6.81,13.3,
25.91278084,-80.13784639,57:24.1,1/30/21,7,0.811,8.99,-7.05681789,1.27,173.5,163.29,1.01,-1.72,23.9,0.01,3.13,3.14,82,22,443.5,15.7,-1.4,D,1286.6,1,39.092,2,0.44,174,135.27,-80.13757133,25.91253107,0,0,1,N,1.278346,63,63,11,30,30,139.05,0,9999.99,3.14,3.267,2,9,23,0,23,36.17,1530.69695,1/30/21,13:36:20,21.96,54.57,36.17,1.07,8.49,-87.1,-2.8,-0.7,-4573,96,6.81,13.3,
25.91277524,-80.13784536,57:25.1,1/30/21,7,1.258,121.73,-7.05681789,1.27,172.6,162.4,0.58,0,23.9,0,3.08,3.09,82,22,443.5,15.7,-1.4,D,1286.6,1,38.579,2,0.44,174,134.73,-80.13757133,25.91253107,0,0,1,N,0.894718,60,60,11,27,27,137.5939,0,9999.99,3.09,3.217,2,9,23,0,23,36.15,1530.67424,1/30/21,13:36:21,21.98,54.54,36.15,1.129,8.5,-87.4,-3.2,-4.4,-3091,95.9,6.8,13.2,
25.91276897,-80.1378424,57:26.1,1/30/21,7,1.348,143.44,-7.05681789,1.27,166.6,156.51,1.64,-14.5,23.9,0,2.85,2.85,82,39,443.4,15.7,-2.5,D,732.3,1,37.879,2,1.06,174,134.3,-80.13757133,25.91253107,0,0,1,N,0.6028565,67,67,11,47,47,136.4685,0,9999.99,2.87,2.992833,2,9,23,0,23,36.14,1530.66317,1/30/21,13:36:23,21.96,54.52,36.14,1.063,8.5,-87.2,-3.9,-3.7,-3250,95.6,6.78,13.1,
25.91276142,-80.13784045,57:27.1,1/30/21,7,1.589,159.16,-7.05681789,1.27,168,157.88,0.76,7.59,23.9,0,2.98,2.99,82,39,443.4,15.7,-2.5,D,732.3,1,37.156,2,1.25,174,133.58,-80.13757133,25.91253107,0,0,1,N,0.1388089,62,62,11,32,32,134.1916,0,9999.99,2.99,3.117,2,9,23,0,23,36.14,1530.66317,1/30/21,13:36:23,21.96,54.52,36.14,1.063,8.5,-87.2,-3.9,-3.7,-3250,95.6,6.78,13.1,
25.91275366,-80.13783701,57:28.1,1/30/21,7,1.713,161.22,-7.05681789,1.27,161,151.06,0.92,-1.56,23.9,0,2.96,2.96,82,39,443.4,15.7,-2.5,D,732.3,1,36.313,2,1.4,174,132.97,-80.13757133,25.91253107,0,0,1,N,0.260477,63,63,11,50,50,131.7737,0,9999.99,2.97,3.097,2,9,23,0,23,36.14,1530.66314,1/30/21,13:36:24,21.94,54.53,36.14,1.152,8.49,-87.1,-3.8,-1.2,-2643,95.4,6.77,13.2,
25.91274606,-80.13783376,57:29.1,1/30/21,7,1.758,159.04,-7.05681789,1.27,154.7,145,1.96,6.18,23.9,0,2.97,2.98,82,40,443.4,15.7,-2.6,D,707.5,1,35.502,2,1.5,174,132.33,-80.13757133,25.91253107,0,0,1,N,0.6628999,69,69,11,62,62,128.6474,0,9999.99,2.99,3.117,2,9,23,0,23,36.17,1530.69604,1/30/21,13:36:26,21.92,54.56,36.17,1.092,8.5,-87.3,-2.3,-1.3,-2300,95,6.74,13.3,
