Latitude,Longitude,Time,Date,Number of Sats,GPS Speed (Kn),GPS True Heading,GPS Magnetic Variation,HDOP,C Magnetic Heading,C True Heading,Pitch Angle,Roll Angle,C Inside Temp (c),DFS Depth (m),DTB Height (m),Total Water Column (m),Batt Percent,Power Watts,Watt-Hours,Batt Volts,Batt Ampers,Batt State,Time to Empty,Current Step,Dist To Next (m),Next Speed (kn),Vehicle Speed (kn),Motor Speed CMD,Next Heading,Next Long,Next Lat,Next Depth (m),Depth Goal (m),Vehicle State,Error State,Distance to Track (m),Fin Pitch R,Fin Pitch L,Pitch Goal,Fin Yaw T,Fin Yaw B,Yaw Goal,Fin Roll,DVL-Depth (m),DVL -Altitude (m),DVL -Water Column (m),DVL-FixType,DVL-FixQuality,DVL-Temperature,Conductivity (mmhos/cm),Temperature (c),Salinity (ppt),Sound Speed (m/s),Date m/d/y   ,Time hh:mm:ss,Temp C,SpCond mS/cm,Sal ppt,Depth feet,pH,pH mV,Turbid+ NTU,Chl ug/L,BGA-PC cells/mL,ODOsat %,ODO mg/L,Battery volts,ROSEM Command Type
25.91275883,-80.13786017,01:41.0,2/13/21,7,0.247,59.34,-7.060548918,1.81,80.2,75.29,0.84,-5,29.3,0,2.61,2.62,62,22,339.6,15,-1.4,D,951.1,0,3.166,2,0,128,122.89,-80.13783442,25.91274487,0,0,1,N,0.3663357,63,63,11,5,5,285.0399,0,9999.99,2.62,2.747,2,9,28,0,28.10000038,33.75,1540.11744,2/13/21,14:40:25,25.44,51.39,33.75,1.228,7.9,-53.2,-3.5,-4.4,-2292,93.7,6.34,12.8,
25.91275883,-80.137861,01:42.0,2/13/21,7,0.022,59.34,-7.060548918,1.81,80.4,75.48,1.33,-9,29.3,0,2.62,2.63,62,22,339.6,15,-1.4,D,951.1,1,21.548,2,0.1,174,125.97,-80.13768571,25.91264487,0,0,1,N,0.4217438,62,62,11,250,250,130.5587,0,9999.99,2.63,2.757,2,9,28,0,28,33.68,1539.82382,2/13/21,14:40:26,25.44,51.3,33.68,1.147,7.92,-54,-3.5,-4.8,-3579,93.1,6.31,12.7,
25.91275864,-80.13786097,01:43.0,2/13/21,7,0.022,59.34,-7.060548918,1.81,79.5,74.62,1.58,0.84,29.3,0.01,2.56,2.57,62,22,339.6,15,-1.4,D,951.1,1,21.617,2,0.02,174,125.82,-80.13768571,25.91264487,0,0,1,N,0.361858,70,70,11,250,250,124.9581,0,9999.99,2.57,2.698897,0,0,28,0,28,33.71,1539.85592,2/13/21,14:40:28,25.43,51.33,33.71,1.209,7.9,-52.9,-3.7,-1.5,-4182,92.3,6.25,12.8,
25.91275756,-80.13785903,01:44.0,2/13/21,7,0.37,59.34,-7.060548918,1.81,82.8,77.77,1.53,-4.56,29.3,0.01,2.63,2.64,62,29,339.5,15,-1.9,D,724.4,1,21.389,2,0.12,174,125.86,-80.13768571,25.91264487,0,0,1,N,0.3468688,66,66,11,250,250,124.9959,0,9999.99,2.64,2.767,2,9,27.9,0,28,33.71,1539.85592,2/13/21,14:40:28,25.43,51.33,33.71,1.209,7.9,-52.9,-3.7,-1.5,-4182,92.3,6.25,12.8,
25.91275583,-80.13785067,01:45.0,2/13/21,7,0.942,59.34,-7.060548918,1.81,88.4,83.08,1.25,0.01,29.3,0.01,2.62,2.63,62,29,339.5,15,-1.9,D,724.4,1,20.988,2,0.36,174,126.54,-80.13768571,25.91264487,0,0,1,N,0.1026964,65,65,11,250,250,126.2326,0,9999.99,2.64,2.767,2,9,27.9,0,27.89999962,33.76,1539.68846,2/13/21,14:40:29,25.43,51.4,33.76,1.196,7.9,-52.8,-3.6,-5.1,-3692,91.8,6.21,12.7,
25.9127565,-80.13784367,01:46.0,2/13/21,6,1.335,59.34,-7.060548918,2.29,95.8,90.04,1.64,-4.39,29.4,0,2.7,2.7,62,29,339.5,15,-1.9,D,724.4,1,20.359,2,0.61,174,127.21,-80.13768571,25.91264487,0,0,1,N,0.1332905,67,67,11,250,250,127.5438,0,9999.99,2.71,2.837,2,9,27.9,0,27.89999962,33.69,1539.61423,2/13/21,14:40:31,25.41,51.3,33.69,1.184,7.91,-53.5,-1.9,-0.7,-3626,90.9,6.16,12.7,
25.91275593,-80.13783958,01:47.0,2/13/21,6,1.335,59.34,-7.060548918,2.29,105,98.61,0.84,-1.72,29.4,0,2.77,2.77,62,41,339.6,14.9,-2.7,D,516.2,1,19.732,2,0.84,174,128.75,-80.13768571,25.91264487,0,0,1,N,0.6557469,64,64,11,250,250,130.7991,0,9999.99,2.78,2.907,2,9,27.9,0,27.89999962,33.69,1539.61423,2/13/21,14:40:31,25.41,51.3,33.69,1.184,7.91,-53.5,-1.9,-0.7,-3626,90.9,6.16,12.7,
25.912754,-80.13782867,01:48.0,2/13/21,6,1.485,96.15,-7.060548918,2.29,113.2,106.21,1.72,-5.37,29.3,0,2.9,2.9,62,41,339.6,14.9,-2.7,D,516.2,1,18.912,2,1.04,174,130.08,-80.13768571,25.91264487,0,0,1,N,1.067746,67,67,11,238,238,134.0061,0,9999.99,2.91,3.037,2,9,27.8,0,27.79999924,33.71,1539.4143,2/13/21,14:40:32,25.38,51.34,33.71,1.187,7.91,-53.8,-4.2,-1.4,-3859,90.5,6.13,12.9,
25.91275017,-80.13782267,01:49.1,2/13/21,6,1.409,107.3,-7.060548918,2.29,121.9,114.26,2.43,-1.05,29.3,0.01,3.08,3.08,62,41,339.6,14.9,-2.7,D,516.2,1,18.162,2,1.19,174,130.8,-80.13768571,25.91264487,0,0,1,N,1.260446,72,72,11,217,217,135.738,0,9999.99,3.09,3.217,2,9,27.8,0,27.79999924,33.72,1539.42502,2/13/21,14:40:34,25.36,51.35,33.72,1.2,7.9,-53,-3.1,-0.6,-3505,89.6,6.07,12.8,
25.91274595,-80.13781358,01:50.0,2/13/21,6,1.631,109.43,-7.060548918,2.29,129.4,121.21,2.74,-4.45,29.4,0.01,3.14,3.15,62,41,339.6,14.9,-2.7,D,516.2,1,17.026,2,1.3,174,131.31,-80.13768571,25.91264487,0,0,1,N,1.220024,73,73,11,187,187,136.2629,0,9999.99,3.16,3.287,2,9,27.8,0,27.79999924,33.72,1539.42502,2/13/21,14:40:34,25.36,51.35,33.72,1.2,7.9,-53,-3.1,-0.6,-3505,89.6,6.07,12.8,
25.91274163,-80.13780648,01:51.1,2/13/21,6,1.718,119.44,-7.060548918,2.29,135.3,126.69,2.51,-2.61,29.4,0.01,3.18,3.19,62,41,339.6,14.9,-2.7,D,510.2,1,16.176,2,1.41,174,131.69,-80.13768571,25.91264487,0,0,1,N,1.333766,72,72,11,167,167,136.6349,0,9999.99,3.21,3.337,2,9,27.7,0,27.70000076,33.75,1539.23533,2/13/21,14:40:35,25.35,51.38,33.75,1.193,7.9,-52.9,-4,0,-2514,89.2,6.05,12.7,
25.91273772,-80.13780032,01:52.1,2/13/21,6,1.446,120.8,-7.060548918,2.29,140.6,131.65,1.9,-3,29.4,0,3.21,3.21,62,41,339.6,14.9,-2.7,D,510.2,1,15.427,2,1.5,174,132.01,-80.13768571,25.91264487,0,0,1,N,1.307055,68,68,11,148,148,136.8261,0,9999.99,3.23,3.357,2,9,27.7,0,27.70000076,33.74,1539.22442,2/13/21,14:40:37,25.34,51.37,33.74,1.251,7.93,-54.9,-3.9,-1.8,-3372,88.4,6,12.9,
25.91273141,-80.13779422,01:53.1,2/13/21,6,1.664,128.01,-7.060548918,2.29,142.8,133.71,0.86,-0.71,29.4,0,3.22,3.22,62,41,339.6,14.9,-2.7,D,510.2,1,14.505,2,1.59,175,131.56,-80.13768571,25.91264487,0,0,1,N,1.297058,62,62,11,134,134,135.4892,0,9999.99,3.24,3.367,2,9,27.7,0,27.70000076,33.74,1539.22442,2/13/21,14:40:37,25.34,51.37,33.74,1.251,7.93,-54.9,-3.9,-1.8,-3372,88.4,6,12.9,
25.91272455,-80.13778956,01:54.1,2/13/21,6,1.734,135.18,-7.060548918,2.29,144.9,135.69,1.19,-1.25,29.4,0,3.23,3.23,62,41,339.6,14.9,-2.7,D,513,1,13.652,2,1.64,175,130.47,-80.13768571,25.91264487,0,0,1,N,1.072409,64,64,11,117,117,133.1709,0,9999.99,3.24,3.367,2,9,27.6,0,27.60000038,33.74,1539.0019,2/13/21,14:40:38,25.34,51.37,33.74,1.21,7.91,-53.6,-4.5,-4.6,-3445,88.1,5.98,12.7,
