Latitude,Longitude,Time,Date,Number of Sats,GPS Speed (Kn),GPS True Heading,GPS Magnetic Variation,HDOP,C Magnetic Heading,C True Heading,Pitch Angle,Roll Angle,C Inside Temp (c),DFS Depth (m),DTB Height (m),Total Water Column (m),Batt Percent,Power Watts,Watt-Hours,Batt Volts,Batt Ampers,Batt State,Time to Empty,Current Step,Dist To Next (m),Next Speed (kn),Vehicle Speed (kn),Motor Speed CMD,Next Heading,Next Long,Next Lat,Next Depth (m),Depth Goal (m),Vehicle State,Error State,Distance to Track (m),Fin Pitch R,Fin Pitch L,Pitch Goal,Fin Yaw T,Fin Yaw B,Yaw Goal,Fin Roll,DVL-Depth (m),DVL -Altitude (m),DVL -Water Column (m),DVL-FixType,DVL-FixQuality,DVL-Temperature,Conductivity (mmhos/cm),Temperature (c),Salinity (ppt),Sound Speed (m/s),Date m/d/y   ,Time hh:mm:ss,Temp C,SpCond mS/cm,Sal ppt,Depth feet,pH,pH mV,Turbid+ NTU,Chl ug/L,BGA-PC cells/mL,ODOsat %,ODO mg/L,Battery volts,ROSEM Command Type
25.91275467,-80.13788367,54:57.6,2/13/21,9,0.089,226.12,-7.060533745,1.15,92,86.47,1.06,-5.59,29.6,0,2.43,2.43,58,22,317.4,14.8,-1.5,D,872,0,7.364,1,2,128,68.11,-80.13781535,25.91277935,0,0,1,N,2.047172,63,63,11,63,63,70.5295,0,9999.99,2.44,2.567,2,9,27,0,27.10000038,33.42,1537.54008,2/13/21,15:33:45,25.19,50.93,33.42,0.946,8.26,-74.6,-2.7,-0.9,-3032,86.7,5.9,13.1,
25.91275501,-80.13788366,54:58.6,2/13/21,9,0.052,226.12,-7.060533745,1.15,92.9,87.32,1.16,-5.81,29.5,0,2.43,2.43,58,22,317.4,14.8,-1.5,D,872,0,7.349,1,0.07,160,68.39,-80.13781535,25.91277935,0,0,1,N,2.047172,64,64,11,51,51,68.41553,0,9999.99,2.44,2.567,2,9,27,0,27,33.42,1537.31363,2/13/21,15:33:46,25.19,50.94,33.42,0.928,8.26,-74.5,-2.5,-2,-2491,86.1,5.86,13,
25.9127545,-80.13788283,54:59.6,2/13/21,9,0.14,226.12,-7.060533745,1.15,94.6,88.91,0.86,-1.37,29.6,0.03,2.41,2.44,58,22,317.4,14.8,-1.5,D,872,0,7.294,1,0.07,160,67.73,-80.13781535,25.91277935,0,0,1,N,2.047172,63,63,11,45,45,67.76633,0,9999.99,2.42,2.547,2,9,27,0,27,33.41,1537.3056,2/13/21,15:33:47,25.19,50.92,33.41,0.914,8.26,-74.3,-2.6,-5.5,-1582,85.4,5.82,13.1,
25.91275583,-80.13787966,55:00.6,2/13/21,9,0.287,226.12,-7.060533745,1.21,98.1,92.19,0.24,-4.94,29.6,0.05,2.42,2.47,58,32,317.4,14.8,-2.1,D,609.3,0,6.944,1,0.2,160,67.87,-80.13781535,25.91277935,0,0,1,N,2.047172,58,58,11,30,30,67.95327,0,9999.99,2.42,2.547,2,9,27,0,27,33.42,1537.31761,2/13/21,15:33:48,25.19,50.94,33.42,0.942,8.26,-74,-2.9,-2.1,-6040,84.9,5.78,12.9,
25.91275579,-80.13787562,55:01.6,2/13/21,9,0.635,226.12,-7.060533745,1.15,99.8,93.78,0.89,-5.14,29.6,0.03,2.42,2.45,58,32,317.4,14.8,-2.1,D,609.3,0,6.573,1,0.34,160,66.51,-80.13781535,25.91277935,0,0,1,N,2.047172,62,62,11,22,22,66.62676,0,9999.99,2.43,2.557,2,9,27,0,27,33.43,1537.32768,2/13/21,15:33:49,25.19,50.94,33.43,1.04,8.25,-73.8,-1.6,-4,-4415,84.3,5.74,12.9,
25.91275744,-80.1378714,55:02.6,2/13/21,9,0.624,226.12,-7.060533745,1.15,99.2,93.22,0.84,-4.89,29.7,0.03,2.46,2.49,58,32,317.4,14.8,-2.1,D,609.3,1,30.329,1,0.49,160,151.7,-80.13772766,25.91251728,0,0,1,N,6.095109,62,62,11,250,250,125.9465,0,9999.99,2.47,2.597,2,9,27,0,27,33.42,1537.31619,2/13/21,15:33:50,25.19,50.93,33.42,0.945,8.25,-73.8,-2,-2.2,-1008,83.7,5.7,13,
25.91275641,-80.13786494,55:03.6,2/13/21,9,0.918,152.38,-7.060533745,1.15,100.5,94.43,0.97,1.86,29.7,0.02,2.5,2.52,58,32,317.4,14.8,-2.1,D,609.3,1,29.926,1,0.67,160,152.69,-80.13772766,25.91251728,0,0,1,N,5.517694,63,63,11,250,250,128.6658,0,9999.99,2.51,2.637,2,9,27,0,27,33.41,1537.30457,2/13/21,15:33:51,25.19,50.92,33.41,0.961,8.27,-75,-2.3,-0.7,-987,83.3,5.67,13,
25.91275605,-80.13785845,55:04.6,2/13/21,9,1.175,129.88,-7.060533745,1.16,105.3,98.89,1.85,-4.77,29.6,0.02,2.53,2.55,58,31,317.4,14.8,-2.1,D,613.5,1,29.598,1,0.85,160,153.77,-80.13772766,25.91251728,0,0,1,N,4.920649,65,65,11,250,250,131.6632,0,9999.99,2.54,2.667,2,9,26.9,0,27,33.41,1537.3044,2/13/21,15:33:52,25.18,50.92,33.41,0.959,8.24,-73.4,-2,-1.5,-1997,82.7,5.64,13.1,
25.91275576,-80.13785381,55:05.6,2/13/21,9,0.764,116.01,-7.060533745,1.16,110.1,103.34,-0.34,-3.61,29.7,0.03,2.6,2.63,58,31,317.4,14.8,-2.1,D,613.5,1,29.366,1,0.88,160,154.56,-80.13772766,25.91251728,0,0,1,N,4.491748,55,55,11,249,249,133.9452,0,9999.99,2.6,2.727,2,9,26.9,0,26.89999962,33.42,1537.08875,2/13/21,15:33:53,25.18,50.93,33.42,0.953,8.24,-73.2,-1.1,-0.5,-1055,82.3,5.61,13.1,
25.91275479,-80.13784687,55:06.6,2/13/21,9,1.084,116.01,-7.060533745,1.16,116.9,109.64,1.33,-7.6,29.7,0.02,2.71,2.73,58,31,317.4,14.8,-2.1,D,613.5,1,28.977,1,0.9,160,155.7,-80.13772766,25.91251728,0,0,1,N,3.843126,65,65,11,239,239,137.5892,0,9999.99,2.72,2.847,2,9,26.9,0,26.89999962,33.43,1537.09867,2/13/21,15:33:54,25.18,50.94,33.43,1.03,8.24,-73.1,-1.8,-2.2,-1264,81.9,5.58,12.9,
