Latitude,Longitude,Time,Date,Number of Sats,GPS Speed (Kn),GPS True Heading,GPS Magnetic Variation,HDOP,C Magnetic Heading,C True Heading,Pitch Angle,Roll Angle,C Inside Temp (c),DFS Depth (m),DTB Height (m),Total Water Column (m),Batt Percent,Power Watts,Watt-Hours,Batt Volts,Batt Ampers,Batt State,Time to Empty,Current Step,Dist To Next (m),Next Speed (kn),Vehicle Speed (kn),Motor Speed CMD,Next Heading,Next Long,Next Lat,Next Depth (m),Depth Goal (m),Vehicle State,Error State,Distance to Track (m),Fin Pitch R,Fin Pitch L,Pitch Goal,Fin Yaw T,Fin Yaw B,Yaw Goal,Fin Roll,DVL-Depth (m),DVL -Altitude (m),DVL -Water Column (m),DVL-FixType,DVL-FixQuality,DVL-Temperature,Conductivity (mmhos/cm),Temperature (c),Salinity (ppt),Sound Speed (m/s),Date m/d/y   ,Time hh:mm:ss,Temp C,SpCond mS/cm,Sal ppt,Depth feet,pH,pH mV,Turbid+ NTU,Chl ug/L,BGA-PC cells/mL,ODOsat %,ODO mg/L,Battery volts,ROSEM Command Type
25.87162717,-80.16645317,28:31.0,3/16/21,11,0.323,271.48,-7.046035247,0.84,85.3,80.16,1.24,-10.9,29,0,4.23,4.23,61,21,325.7,15,-1.4,D,965.5,0,12.831,2,0,128,58.99,-80.16634325,25.87168662,0,0,1,N,10.78789,64,64,11,5,5,343.7545,0,9999.99,4.24,4.367,2,9,26.6,0,26.60000038,31.14,1533.96764,3/16/21,11:07:00,24.06,47.8,31.14,1.203,8.43,-83.7,-4,-4.1,-2125,95.1,6.69,12.9,
25.87162767,-80.16645383,28:32.0,3/16/21,11,0.119,271.48,-7.046035247,0.84,91.5,86.02,0.69,-0.12,29,0,4.24,4.24,61,22,325.7,15,-1.4,D,912.8,0,12.86,2,0,128,59.35,-80.16634325,25.87168662,0,0,1,N,10.78789,61,61,11,5,5,342.3214,0,9999.99,4.25,4.377,2,9,26.6,0,26.60000038,31.06,1533.8823,3/16/21,11:07:01,24.05,47.68,31.06,1.144,8.42,-83.6,-4.9,-4.5,-5497,95.1,6.7,13,
25.87162786,-80.16645493,28:33.0,3/16/21,11,0.12,271.48,-7.046035247,0.84,88.1,82.81,2.02,2.1,28.9,0.01,4.24,4.26,61,22,325.7,15,-1.4,D,912.8,1,79.638,2,0.08,174,83.9,-80.16566346,25.87170395,0,0,1,N,6.216757,69,69,11,95,95,74.85887,0,9999.99,4.25,4.377,2,9,26.6,0,26.60000038,31.16,1533.98973,3/16/21,11:07:02,24.05,47.81,31.16,1.227,8.42,-83.7,-3.9,-0.4,-4351,95.1,6.69,13,
25.87162785,-80.1664542,28:34.0,3/16/21,11,0.493,271.48,-7.046035247,0.84,88.8,83.47,1.12,-7.11,28.9,0.02,4.21,4.23,61,22,325.7,15,-1.4,D,912.8,1,79.565,2,0.03,174,83.89,-80.16566346,25.87170395,0,0,1,N,6.218987,63,63,11,97,97,74.80358,0,9999.99,4.23,4.357,2,9,26.6,0,26.60000038,31.13,1533.95878,3/16/21,11:07:03,24.05,47.77,31.13,1.246,8.42,-83.7,-4,0,-1940,95.1,6.69,13.1,
25.87162789,-80.16645063,28:35.0,3/16/21,11,0.862,176.13,-7.046035247,0.84,90.3,84.89,1.45,-3.52,28.9,0.02,4.24,4.26,61,37,325.6,15,-2.4,D,546.8,1,79.21,2,0.19,174,83.87,-80.16566346,25.87170395,0,0,1,N,6.226226,66,66,11,86,86,74.53224,0,9999.99,4.25,4.377,2,9,26.5,0,26.5,31.06,1533.65195,3/16/21,11:07:04,24.07,47.68,31.06,1.209,8.42,-83.5,-4.3,-4,-3725,95.1,6.69,12.8,
25.87162776,-80.16644487,28:36.0,3/16/21,11,1.028,135.8,-7.046035247,0.84,90.3,84.89,2.56,-1.52,28.9,0.01,4.2,4.21,61,37,325.6,15,-2.4,D,546.8,1,78.639,2,0.49,174,83.82,-80.16566346,25.87170395,0,0,1,N,6.258812,72,72,11,84,84,74.02606,0,9999.99,4.21,4.337,2,9,26.5,0,26.5,31.09,1533.6839,3/16/21,11:07:05,24.03,47.73,31.09,1.213,8.42,-83.4,-2.8,1,-47,95,6.69,12.9,
25.87162869,-80.16643675,28:37.0,3/16/21,11,1.454,106.94,-7.046035247,0.84,91.2,85.73,-0.71,2.16,28.9,0.01,4.23,4.24,61,37,325.6,15,-2.4,D,546.8,1,77.82,2,0.83,174,83.83,-80.16566346,25.87170395,0,0,1,N,6.180472,53,53,11,78,78,73.52551,0,9999.99,4.25,4.377,2,9,26.5,0,26.5,31.01,1533.59835,3/16/21,11:07:06,24.03,47.61,31.01,1.154,8.42,-83.2,-4.5,-6.5,-212,95,6.69,12.9,
25.87162974,-80.16642887,28:38.0,3/16/21,11,1.597,93.65,-7.046035247,0.87,89.6,84.23,0.79,3.25,29,0.01,4.21,4.22,61,37,325.6,15,-2.4,D,546.8,1,77.023,2,1.07,174,83.85,-80.16566346,25.87170395,0,0,1,N,6.086468,63,63,11,87,87,73.01296,0,9999.99,4.2,4.327,2,9,26.5,0,26.5,31.01,1533.59825,3/16/21,11:07:07,24,47.61,31.01,1.402,8.42,-83.3,-3.9,-0.2,-1242,95,6.7,13,
25.87163039,-80.16642167,28:39.0,3/16/21,10,1.34,88.81,-7.046035247,0.87,84.4,79.31,1.78,-2.99,28.9,0.01,4.22,4.23,61,38,325.6,15,-2.5,D,525.1,1,76.299,2,1.35,174,83.85,-80.16566346,25.87170395,0,0,1,N,6.038306,66,66,11,94,94,72.40412,0,9999.99,4.23,4.357,2,9,26.5,0,26.5,31.01,1533.59788,3/16/21,11:07:08,23.99,47.61,31.01,1.166,8.41,-82.9,-4.1,-3,-1996,94.9,6.69,12.8,
25.87163233,-80.16641216,28:40.0,3/16/21,11,1.837,84.84,-7.046035247,0.84,84.3,79.21,0.77,3.64,29,0.01,4.18,4.19,61,38,325.6,15,-2.5,D,525.1,1,75.33,2,1.46,174,83.93,-80.16566346,25.87170395,0,0,1,N,5.85564,62,62,11,97,97,71.80422,0,9999.99,4.2,4.327,2,9,26.5,0,26.5,30.98,1533.56596,3/16/21,11:07:09,23.99,47.56,30.98,1.291,8.42,-83.2,-3.8,-5,66,94.9,6.69,13,
25.87163395,-80.16640285,28:41.0,3/16/21,11,1.831,81.88,-7.046035247,0.84,81.8,76.83,0.79,2.65,29,0,4.23,4.23,61,38,325.6,15,-2.5,D,525.1,1,74.385,2,1.59,174,83.99,-80.16566346,25.87170395,0,0,1,N,5.708256,62,62,11,104,104,71.01012,0,9999.99,4.24,4.367,2,9,26.4,0,26.39999962,30.97,1533.32229,3/16/21,11:07:10,23.97,47.56,30.97,1.298,8.41,-82.6,-4.7,-7.4,-986,94.8,6.69,13,
25.87163626,-80.16639446,28:42.0,3/16/21,11,1.647,77.35,-7.046035247,0.87,79.8,74.92,3.48,3.16,29,0.01,4.25,4.26,61,38,325.6,15,-2.5,D,525.1,1,73.523,2,1.72,174,84.12,-80.16566346,25.87170395,0,0,1,N,5.47409,77,77,11,105,105,70.45187,0,9999.99,4.26,4.387,2,9,26.4,0,26.39999962,30.96,1533.3119,3/16/21,11:07:11,23.99,47.54,30.96,1.284,8.41,-82.5,-4.6,-3.2,-358,94.7,6.68,13,
25.87164011,-80.16638516,28:43.0,3/16/21,11,1.815,68.27,-7.046035247,0.84,82.2,77.21,-2.48,-2.42,29,0.01,4.26,4.27,61,37,325.6,15,-2.4,D,543.3,1,72.555,2,1.73,174,84.39,-80.16566346,25.87170395,0,0,1,N,5.072411,43,43,11,99,99,70.20739,0,9999.99,4.29,4.417,2,9,26.4,0,26.39999962,30.96,1533.31181,3/16/21,11:07:12,23.97,47.54,30.96,1.223,8.41,-82.5,-4.3,-0.1,-3437,94.6,6.67,12.9,
25.87164193,-80.1663765,28:44.0,3/16/21,11,1.624,74.71,-7.046035247,0.84,78.8,73.97,2.19,3.12,29,0.02,4.25,4.27,61,37,325.6,15,-2.4,D,543.3,1,71.673,2,1.76,174,84.48,-80.16566346,25.87170395,0,0,1,N,4.90284,70,70,11,108,108,69.1399,0,9999.99,4.23,4.357,2,9,26.4,0,26.39999962,30.63,1532.96047,3/16/21,11:07:13,23.98,47.09,30.63,1.509,8.4,-82.2,75.7,-10.1,-2730,94.5,6.68,13,
25.87164627,-80.16636638,28:45.0,3/16/21,11,2.108,67.88,-7.046035247,0.84,79.1,74.25,-0.77,2.11,29,0.01,4.25,4.25,61,37,325.6,15,-2.4,D,543.3,1,70.62,2,1.84,174,84.79,-80.16566346,25.87170395,0,0,1,N,4.447364,52,52,11,104,104,68.56534,0,9999.99,4.27,4.397,2,9,26.3,0,26.29999924,31.12,1533.24984,3/16/21,11:07:14,23.96,47.76,31.12,1.312,8.4,-82.2,-3.4,-4.1,-4144,94.3,6.65,13,
25.87164962,-80.16635804,28:46.0,3/16/21,11,1.625,69.27,-7.046035247,0.84,78.2,73.39,0.42,-2.4,29,0.03,4.33,4.35,61,37,325.6,15,-2.5,D,541.3,1,69.755,2,1.86,175,85.03,-80.16566346,25.87170395,0,0,1,N,4.103154,56,56,11,109,109,67.79657,0,9999.99,4.31,4.437,2,9,26.3,0,26.29999924,15.59,1516.68032,3/16/21,11:07:15,23.98,25.55,15.59,1.323,8.4,-82.2,-3.3,-2.9,-2840,94.2,7.25,13,
25.87164772,-80.16635216,28:47.0,3/16/21,11,0.895,69.27,-7.046035247,0.84,76.8,72.05,3.95,5.37,29,0.02,4.22,4.23,61,37,325.6,15,-2.5,D,541.3,1,69.188,2,1.79,175,84.81,-80.16566346,25.87170395,0,0,1,N,4.327794,81,81,11,98,98,64.88139,0,9999.99,4.22,4.347,2,9,26.3,0,26.29999924,31.47,1533.62564,3/16/21,11:07:16,23.97,48.23,31.47,1.486,8.4,-82.5,-4.4,-3.4,-1990,94.1,6.62,12.8,
25.87164908,-80.16634354,28:48.0,3/16/21,11,1.771,77.52,-7.046035247,0.84,72.8,68.2,-2.03,6.12,29,0.01,4.38,4.39,61,38,325.6,15,-2.5,D,521.7,1,68.316,2,1.82,175,84.88,-80.16566346,25.87170395,0,0,1,N,4.211551,45,45,11,102,102,61.87812,0,9999.99,4.36,4.487,2,9,26.3,0,26.29999924,31.14,1533.27088,3/16/21,11:07:17,23.99,47.79,31.14,1.133,8.41,-82.6,-4,-5.6,-3524,94,6.62,13,
25.87165307,-80.16633469,28:49.0,3/16/21,11,1.921,74.35,-7.046035247,0.84,74,69.36,3.45,7.26,29,0.02,4.38,4.39,61,38,325.6,15,-2.5,D,521.7,1,67.395,2,1.77,175,85.18,-80.16566346,25.87170395,0,0,1,N,3.782635,78,78,11,102,102,63.085,0,9999.99,4.36,4.487,2,9,26.2,0,26.20000076,30.93,1532.8135,3/16/21,11:07:19,23.97,47.51,30.93,1.196,8.39,-81.9,-3.4,-1.6,-2059,94,6.64,12.9,
25.87165925,-80.16632551,28:50.0,3/16/21,11,1.554,63.32,-7.046035247,0.84,65.7,61.3,0.04,4.15,29,0,4.45,4.45,61,38,325.6,15,-2.5,D,521.7,1,66.425,2,1.83,175,85.71,-80.16566346,25.87170395,0,0,1,N,3.136448,57,57,11,150,150,66.97001,0,9999.99,4.48,4.607,2,9,26.2,0,26.20000076,30.93,1532.8135,3/16/21,11:07:19,23.97,47.51,30.93,1.196,8.39,-81.9,-3.4,-1.6,-2059,94,6.64,12.9,
