Latitude,Longitude,Time,Date,Number of Sats,GPS Speed (Kn),GPS True Heading,GPS Magnetic Variation,HDOP,C Magnetic Heading,C True Heading,Pitch Angle,Roll Angle,C Inside Temp (c),DFS Depth (m),DTB Height (m),Total Water Column (m),Batt Percent,Power Watts,Watt-Hours,Batt Volts,Batt Ampers,Batt State,Time to Empty,Current Step,Dist To Next (m),Next Speed (kn),Vehicle Speed (kn),Motor Speed CMD,Next Heading,Next Long,Next Lat,Next Depth (m),Depth Goal (m),Vehicle State,Error State,Distance to Track (m),Fin Pitch R,Fin Pitch L,Pitch Goal,Fin Yaw T,Fin Yaw B,Yaw Goal,Fin Roll,DVL-Depth (m),DVL -Altitude (m),DVL -Water Column (m),DVL-FixType,DVL-FixQuality,DVL-Temperature,Conductivity (mmhos/cm),Temperature (c),Salinity (ppt),Sound Speed (m/s),Date m/d/y   ,Time hh:mm:ss,Temp C,SpCond mS/cm,Sal ppt,Depth feet,pH,pH mV,Turbid+ NTU,Chl ug/L,BGA-PC cells/mL,ODOsat %,ODO mg/L,Battery volts,ROSEM Command Type
25.9127575,-80.1378755,54:20.5,6/9/21,6,0.219,0,-7.091561231,2.81,159,149.1,1.33,-3.7,28,0.01,2.59,2.6,91,21,496.4,16.1,-1.3,D,1538.1,0,4.997,2,0,128,116.09,-80.13783063,25.91273774,0,0,1,N,1.42E-02,65,65,11,250,250,282.6302,0,9999.99,2.6,2.727,2,9,29.1,0,29.10000038,44.24,1553.29656,6/9/21,10:31:54,29.15,65.43,44.24,1.238,8.39,-83,-4.1,0.8,-1987,77.3,4.64,12.5,
25.91275867,-80.13787667,54:21.6,6/9/21,6,0.127,0,-7.091561231,2.8,160,150.06,1.04,-3.67,28,0.01,2.59,2.6,91,22,496.4,16.1,-1.3,D,1498.9,0,5.036,2,0,128,116.57,-80.13783063,25.91273774,0,0,1,N,2.83E-02,64,64,11,250,250,282.2205,0,9999.99,2.6,2.727,2,9,29.1,0,29.10000038,44.21,1553.2647,6/9/21,10:31:56,29.16,65.39,44.21,1.241,8.39,-83.1,-3.5,-3.7,-2311,77.3,4.64,12.4,
25.91275817,-80.1378775,54:22.6,6/9/21,6,0.213,0,-7.091561231,1.66,158.2,148.32,2.65,1.29,28,0.01,2.58,2.59,91,22,496.4,16.1,-1.3,D,1498.9,1,14.944,2,0.01,174,142.53,-80.13778584,25.91265197,0,0,1,N,3.185844,73,73,11,88,88,138.5107,0,9999.99,2.59,2.717,2,9,29.1,0,29.10000038,44.21,1553.2647,6/9/21,10:31:56,29.16,65.39,44.21,1.241,8.39,-83.1,-3.5,-3.7,-2311,77.3,4.64,12.4,
25.9127565,-80.13787717,54:23.6,6/9/21,6,0.802,155.57,-7.091561231,1.66,160.1,150.16,1.8,-2.19,28,0.01,2.6,2.61,91,22,496.4,16.1,-1.3,D,1498.9,1,14.928,2,0.07,174,142.16,-80.13778584,25.91265197,0,0,1,N,3.278274,68,68,11,78,78,138.0249,0,9999.99,2.62,2.747,0,0,29.1,0,29.10000038,44.2,1553.25418,6/9/21,10:31:57,29.16,65.38,44.2,1.279,8.4,-83.5,-4.5,-2.7,-2398,77.4,4.65,12.6,
25.91275417,-80.13788,54:24.6,6/9/21,6,1.185,160.79,-7.091561231,1.66,162,151.99,1.46,0.74,28,0.01,2.59,2.6,91,38,496.4,16.1,-2.3,D,865.9,1,14.664,2,0.33,174,141.76,-80.13778584,25.91265197,0,0,1,N,3.319292,66,66,11,69,69,137.4974,0,9999.99,2.6,2.727,2,9,29.1,0,29.10000038,44.21,1553.26482,6/9/21,10:31:59,29.15,65.39,44.21,1.271,8.38,-82.6,-4.7,-0.8,-3625,77.2,4.64,12.6,
25.91274967,-80.13788183,54:25.6,6/9/21,6,1.493,162.49,-7.091561231,1.66,162.3,152.29,1.05,-1.94,28,0.01,2.58,2.59,91,38,496.4,16.1,-2.3,D,865.9,1,14.516,2,0.68,174,140.12,-80.13778584,25.91265197,0,0,1,N,3.689523,63,63,11,59,59,135.3813,0,9999.99,2.6,2.727,2,9,29.1,0,29.10000038,44.16,1553.21173,6/9/21,10:32:00,29.15,65.33,44.16,1.267,8.37,-81.7,-4.1,-5,-2404,77.2,4.64,12.4,
25.9127435,-80.1378805,54:26.6,6/9/21,6,1.608,161.41,-7.091561231,1.66,160.6,150.64,1.38,0.4,28,0,2.51,2.52,91,38,496.4,16.1,-2.3,D,865.9,1,14.074,2,1,174,138.13,-80.13778584,25.91265197,0,0,1,N,4.049304,64,64,11,51,51,132.8124,0,9999.99,2.52,2.647,2,9,29.1,0,29.10000038,44.14,1553.19045,6/9/21,10:32:01,29.11,65.29,44.14,1.295,8.39,-83.1,-3.1,-4.8,-3000,77.2,4.64,12.6,
25.91273621,-80.13787875,54:27.6,6/9/21,6,1.777,160.4,-7.091561231,1.66,157.4,147.56,0.96,1.58,28,0,2.49,2.49,91,38,496.4,16.1,-2.3,D,865.9,1,13.195,2,1.25,174,135.23,-80.13778584,25.91265197,0,0,1,N,4.188632,63,63,11,54,54,129.3185,0,9999.99,2.5,2.627,2,9,29.1,0,29.10000038,44.16,1553.21143,6/9/21,10:32:02,29.08,65.33,44.16,1.268,8.39,-83.1,-4,-1.6,-1530,77.2,4.65,12.6,
25.91273183,-80.13788017,54:28.6,6/9/21,6,1.782,154.97,-7.091561231,1.66,153.3,143.63,1.58,3.79,28,0,2.5,2.5,91,39,496.4,16,-2.4,D,835.7,1,12.49,2,1.48,174,134.63,-80.13778584,25.91265197,0,0,1,N,4.332901,66,66,11,73,73,130.1643,0,9999.99,2.51,2.637,2,9,29.1,0,29.10000038,44.16,1553.2114,6/9/21,10:32:03,29.07,65.33,44.16,1.328,8.4,-83.5,-4.1,-2.1,-1096,77.2,4.65,12.6,
25.91272583,-80.13787867,54:29.6,6/9/21,6,1.879,153.72,-7.091561231,1.66,148.4,138.97,1.64,4.22,28,0,2.61,2.61,91,39,496.4,16,-2.4,D,835.7,1,12.225,2,1.64,174,132.77,-80.13778584,25.91265197,0,0,1,N,4.617098,66,66,11,76,76,127.6659,0,9999.99,2.62,2.747,2,9,29.1,0,29.10000038,44.15,1553.20091,6/9/21,10:32:04,29.05,65.31,44.15,1.298,8.38,-82.5,-4.4,-5.4,-3339,77.2,4.65,12.4,
