Latitude,Longitude,Time,Date,Number of Sats,GPS Speed (Kn),GPS True Heading,GPS Magnetic Variation,HDOP,C Magnetic Heading,C True Heading,Pitch Angle,Roll Angle,C Inside Temp (c),DFS Depth (m),DTB Height (m),Total Water Column (m),Batt Percent,Power Watts,Watt-Hours,Batt Volts,Batt Ampers,Batt State,Time to Empty,Current Step,Dist To Next (m),Next Speed (kn),Vehicle Speed (kn),Motor Speed CMD,Next Heading,Next Long,Next Lat,Next Depth (m),Depth Goal (m),Vehicle State,Error State,Distance to Track (m),Fin Pitch R,Fin Pitch L,Pitch Goal,Fin Yaw T,Fin Yaw B,Yaw Goal,Fin Roll,DVL-Depth (m),DVL -Altitude (m),DVL -Water Column (m),DVL-FixType,DVL-FixQuality,DVL-Temperature,Conductivity (mmhos/cm),Temperature (c),Salinity (ppt),Sound Speed (m/s),Date m/d/y   ,Time hh:mm:ss,Temp C,SpCond mS/cm,Sal ppt,Depth feet,pH,pH mV,Turbid+ NTU,Chl ug/L,BGA-PC cells/mL,ODOsat %,ODO mg/L,Battery volts,ROSEM Command Type
25.91267667,-80.137943,23:19.8,6/9/21,3,0.222,164.88,-7.09151097,3.78,95.2,89.45,1.38,-4.09,26.3,0.06,0.83,0.89,91,21,498.8,16.1,-1.3,D,1569,0,12,1,0,128,50.45,-80.13785049,25.91274538,0,0,1,N,10.94494,65,65,11,5,5,346.2446,0,9999.99,0.84,0.9669999,2,9,28.5,0,28.5,45.51,1553.40074,6/9/21,10:00:55,28.71,67.05,45.51,1.172,8.37,-81.5,-3.8,-6.6,-3032,80.8,4.85,12.6,
25.9126755,-80.13794283,23:20.8,6/9/21,3,0.088,164.88,-7.09151097,3.78,95.3,89.54,1.15,-5.52,26.3,0.06,0.84,0.9,91,22,498.8,16.1,-1.3,D,1509.6,0,12.07,1,0,128,49.93,-80.13785049,25.91274538,0,0,1,N,11.05371,64,64,11,5,5,346.6463,0,9999.99,0.85,0.977,0,0,28.5,0,28.5,45.51,1553.40074,6/9/21,10:00:55,28.71,67.05,45.51,1.172,8.37,-81.5,-3.8,-6.6,-3032,80.8,4.85,12.6,
25.91267331,-80.13794266,23:21.8,6/9/21,3,0.14,164.88,-7.09151097,3.78,94.6,88.88,1.35,-3.62,26.2,0.03,0.83,0.86,91,22,498.8,16.1,-1.3,D,1509.6,1,13.104,1,0.12,160,96.97,-80.13781261,25.91265901,0,0,1,N,11.50791,65,65,11,185,185,103.2776,0,9999.99,0.84,0.9669999,0,0,28.5,0,28.5,45.5,1553.38884,6/9/21,10:00:56,28.71,67.04,45.5,1.176,8.37,-81.5,-3.3,-0.2,-1713,80.7,4.85,12.4,
25.91267417,-80.13794114,23:22.8,6/9/21,3,0.145,164.88,-7.09151097,3.78,93.6,87.95,1.71,-0.32,26.3,0.01,0.83,0.84,91,22,498.8,16.1,-1.3,D,1509.6,1,12.965,1,0.18,160,97.47,-80.13781261,25.91265901,0,0,1,N,11.34441,67,67,11,190,190,103.6628,0,9999.99,0.84,0.9669999,2,9,28.5,0,28.5,45.5,1553.38508,6/9/21,10:00:57,28.71,67.03,45.5,1.165,8.37,-81.5,-3.4,-2.6,-1960,80.7,4.85,12.6,
25.91267514,-80.13793974,23:23.8,6/9/21,3,0.082,164.88,-7.09151097,3.78,94.8,89.07,1.28,-1.54,26.3,0.01,0.82,0.84,91,22,498.8,16.1,-1.3,D,1509.6,1,12.841,1,0.21,160,98.03,-80.13781261,25.91265901,0,0,1,N,11.17902,65,65,11,187,187,104.0605,0,9999.99,0.84,0.9669999,2,9,28.5,0,28.5,45.51,1553.39491,6/9/21,10:00:58,28.71,67.05,45.51,1.179,8.37,-81.5,-2.8,-3.9,-1996,80.7,4.85,12.6,
25.91267594,-80.1379375,23:24.8,6/9/21,3,0.499,164.88,-7.09151097,3.78,96.1,90.29,1.68,-1.58,26.3,0.01,0.83,0.84,91,28,498.8,16.1,-1.7,D,1184.9,1,12.632,1,0.2,160,98.57,-80.13781261,25.91265901,0,0,1,N,10.94093,67,67,11,184,184,104.6456,0,9999.99,0.84,0.9669999,0,0,28.5,0,28.5,45.55,1553.43704,6/9/21,10:01:00,28.71,67.11,45.55,1.18,8.37,-81.5,-4.2,-3.5,-1933,80.6,4.84,12.4,
25.91267763,-80.13793237,23:25.8,6/9/21,3,0.943,164.88,-7.09151097,3.78,98.6,92.63,1.54,-1.68,26.4,0,0.88,0.88,91,28,498.8,16.1,-1.7,D,1184.9,1,12.155,1,0.54,160,99.81,-80.13781261,25.91265901,0,0,1,N,10.41671,66,66,11,180,180,105.9949,0,9999.99,0.89,1.017,2,9,28.5,0,28.5,45.55,1553.43704,6/9/21,10:01:00,28.71,67.11,45.55,1.18,8.37,-81.5,-4.2,-3.5,-1933,80.6,4.84,12.4,
25.91267746,-80.13792738,23:26.8,6/9/21,3,1.009,164.88,-7.09151097,3.78,101.3,95.14,1.38,-2.36,26.4,0,0.93,0.93,91,28,498.8,16.1,-1.7,D,1184.9,1,11.661,1,0.56,160,100.13,-80.13781261,25.91265901,0,0,1,N,9.956526,65,65,11,175,175,107.2522,0,9999.99,0.94,1.067,0,0,28.5,0,28.5,45.55,1553.43659,6/9/21,10:01:01,28.69,67.11,45.55,1.18,8.37,-81.6,-2.3,-6.1,-1660,80.6,4.84,12.5,
25.91267747,-80.13792104,23:27.8,6/9/21,3,0.974,164.88,-7.09151097,3.78,104.4,98.03,1.62,-2.12,26.4,0,1.05,1.05,91,27,498.8,16.1,-1.7,D,1209.6,1,11.037,1,0.75,160,100.72,-80.13781261,25.91265901,0,0,1,N,9.373346,67,67,11,171,171,108.9503,0,9999.99,1.06,1.187,2,9,28.5,0,28.5,45.47,1553.35197,6/9/21,10:01:03,28.69,67,45.47,1.191,8.37,-81.5,-2.8,-1.9,-2996,80.6,4.85,12.5,
25.91267712,-80.13791464,23:28.8,6/9/21,3,1.1,164.88,-7.09151097,3.78,107.6,101,1.47,-1.86,26.4,0,1.09,1.09,91,27,498.8,16.1,-1.7,D,1209.6,1,10.401,1,0.9,160,101.16,-80.13781261,25.91265901,0,0,1,N,8.803779,66,66,11,166,166,110.7324,0,9999.99,1.1,1.227,2,9,28.5,0,28.5,45.47,1553.35197,6/9/21,10:01:03,28.69,67,45.47,1.191,8.37,-81.5,-2.8,-1.9,-2996,80.6,4.85,12.5,
