Latitude,Longitude,Time,Date,Number of Sats,GPS Speed (Kn),GPS True Heading,GPS Magnetic Variation,HDOP,C Magnetic Heading,C True Heading,Pitch Angle,Roll Angle,C Inside Temp (c),DFS Depth (m),DTB Height (m),Total Water Column (m),Batt Percent,Power Watts,Watt-Hours,Batt Volts,Batt Ampers,Batt State,Time to Empty,Current Step,Dist To Next (m),Next Speed (kn),Vehicle Speed (kn),Motor Speed CMD,Next Heading,Next Long,Next Lat,Next Depth (m),Depth Goal (m),Vehicle State,Error State,Distance to Track (m),Fin Pitch R,Fin Pitch L,Pitch Goal,Fin Yaw T,Fin Yaw B,Yaw Goal,Fin Roll,DVL-Depth (m),DVL -Altitude (m),DVL -Water Column (m),DVL-FixType,DVL-FixQuality,DVL-Temperature,Conductivity (mmhos/cm),Temperature (c),Salinity (ppt),Sound Speed (m/s),Date m/d/y   ,Time hh:mm:ss,Temp C,SpCond mS/cm,Sal ppt,Depth feet,pH,pH mV,Turbid+ NTU,Chl ug/L,BGA-PC cells/mL,ODOsat %,ODO mg/L,Battery volts,ROSEM Command Type
25.91276133,-80.13783,05:13.3,8/20/20,8,0.093,89.23,-7.013501905,1.16,128.4,120.32,1.23,-4.09,32.5,2.11,3.16,5.27,94,22,508.8,16.2,-1.3,D,1543.2,0,39.67,2,2,128,222.9,-80.1381,25.9125,0,0,0,N,0,88,92,11,120,120,223.0726,0,9999.99,3.17,3.297,2,9,30.9,0,30.89999962,32.45,1544.83081,8/20/20,10:43:07,30.6,49.82,32.45,0.96,8.38,-83.1,-2.7,-2.6,-2253,84.4,5.29,12.9,
25.912759,-80.13783217,05:14.3,8/20/20,8,0.279,89.23,-7.013501428,1.16,128.2,120.14,1.11,-4.86,32.5,2.11,3.17,5.28,94,22,508.8,16.2,-1.3,D,1543.2,0,39.332,2,2,128,222.93,-80.1381,25.9125,0,0,0,N,0,88,92,11,120,120,223.0726,0,9999.99,3.18,3.307,2,9,30.9,0,30.89999962,32.42,1544.79924,8/20/20,10:43:08,30.6,49.79,32.42,0.907,8.42,-85.5,-3,1.1,-2551,84,5.26,13,
25.91275767,-80.13783167,05:15.3,8/20/20,9,0.129,89.23,-7.013499797,1.16,129.2,121.06,1.22,-4.25,32.5,2.1,3.18,5.28,94,21,508.8,16.2,-1.3,D,1567.1,0,39.258,2,2,128,223.13,-80.1381,25.9125,0,0,0,N,0,88,92,11,120,120,223.0726,0,9999.99,3.19,3.317,2,9,30.9,0,30.89999962,32.44,1544.81927,8/20/20,10:43:10,30.6,49.81,32.44,0.934,8.39,-83.3,-2,-5.6,-866,83.3,5.22,13,
25.91275783,-80.13783133,05:16.3,8/20/20,8,0.071,89.23,-7.01349991,1.16,129.4,121.25,1.13,-4.4,32.5,2.11,3.2,5.31,94,21,508.8,16.2,-1.3,D,1567.1,0,39.294,2,2,128,223.14,-80.1381,25.9125,0,0,0,N,0,88,92,11,120,120,223.0726,0,9999.99,3.21,3.337,2,9,30.9,0,30.89999962,32.44,1544.81927,8/20/20,10:43:10,30.6,49.81,32.44,0.934,8.39,-83.3,-2,-5.6,-866,83.3,5.22,13,
25.912758,-80.13783067,05:17.3,8/20/20,8,0.183,89.23,-7.013500134,1.16,129.7,121.53,1.17,-5.06,32.5,2.09,3.22,5.31,94,21,508.8,16.2,-1.3,D,1567.1,0,39.353,2,2,128,223.2,-80.1381,25.9125,0,0,0,N,0,88,92,11,120,120,223.0726,0,9999.99,3.23,3.357,2,9,30.9,0,30.89999962,32.42,1544.7991,8/20/20,10:43:12,30.6,49.79,32.42,0.926,8.44,-86.6,-3.3,-1.9,1087,82.7,5.18,13,
25.91275683,-80.13783033,05:18.3,8/20/20,8,0.141,89.23,-7.013500558,1.16,129.6,121.44,0.9,-3.26,32.5,2.11,3.24,5.35,94,21,508.8,16.2,-1.3,D,1567.1,0,39.282,2,2,128,223.36,-80.1381,25.9125,0,0,0,N,0,88,92,11,120,120,223.0726,0,9999.99,3.25,3.377,2,9,30.9,0,30.89999962,32.42,1544.7991,8/20/20,10:43:12,30.6,49.79,32.42,0.926,8.44,-86.6,-3.3,-1.9,1087,82.7,5.18,13,
25.9127565,-80.13783,05:19.3,8/20/20,8,0.081,89.23,-7.013500595,1.16,130.6,122.36,1.37,-5.36,32.5,2.09,3.24,5.34,94,21,508.8,16.2,-1.3,D,1567.1,0,39.278,2,2,128,223.43,-80.1381,25.9125,0,0,0,N,0,88,92,11,120,120,223.0726,0,9999.99,3.25,3.377,2,9,30.9,0,30.89999962,32.42,1544.79924,8/20/20,10:43:13,30.61,49.79,32.42,0.921,8.41,-84.4,-2.6,-0.7,-1904,82.4,5.16,12.9,
25.91275667,-80.13782933,05:20.3,8/20/20,8,0.177,89.23,-7.013500748,1.16,131.1,122.83,1.13,-4.24,32.5,2.13,3.26,5.39,94,21,508.8,16.2,-1.3,D,1567.1,0,39.337,2,2,128,223.49,-80.1381,25.9125,0,0,0,N,0,88,92,11,120,120,223.0726,0,9999.99,3.27,3.397,2,9,30.9,0,30.89999962,32.44,1544.81871,8/20/20,10:43:15,30.6,49.82,32.44,0.925,8.36,-81.7,-2.3,-1.5,-2102,81.9,5.13,13,
25.91275667,-80.13782833,05:21.3,8/20/20,8,0.204,89.23,-7.013501172,1.16,130.7,122.46,1.24,-3.99,32.5,2.08,3.26,5.34,94,21,508.8,16.2,-1.3,D,1567.1,0,39.406,2,2,128,223.59,-80.1381,25.9125,0,0,0,N,0,88,92,11,120,120,223.0726,0,9999.99,3.27,3.397,2,9,30.9,0,30.89999962,32.44,1544.81871,8/20/20,10:43:15,30.6,49.82,32.44,0.925,8.36,-81.7,-2.3,-1.5,-2102,81.9,5.13,13,
25.912755,-80.137828,05:22.7,8/20/20,8,0.123,89.23,-7.013501774,1.16,131.8,123.48,1.22,-4.57,32.5,2.13,3.28,5.41,94,22,508.8,16.2,-1.3,D,1526.3,0,39.295,2,2,128,223.81,-80.1381,25.9125,0,0,0,N,0,88,92,11,120,120,223.0726,0,9999.99,3.29,3.417,2,9,30.9,0,30.89999962,32.43,1544.80782,8/20/20,10:43:17,30.6,49.8,32.43,0.934,8.43,-85.9,-3.4,-3.4,-3160,81.5,5.11,12.9,
25.9127545,-80.13782767,05:23.7,8/20/20,8,0.082,89.23,-7.01350174,1.16,131.5,123.2,1.01,-4.08,32.5,2.11,3.29,5.4,94,22,508.8,16.2,-1.3,D,1526.3,0,39.278,2,2,128,223.91,-80.1381,25.9125,0,0,0,N,0,88,92,11,120,120,223.0726,0,9999.99,3.3,3.427,2,9,30.9,0,30.89999962,32.43,1544.80835,8/20/20,10:43:18,30.6,49.8,32.43,0.934,8.38,-83,-3.6,-2.1,-3949,81.3,5.09,13,
25.9127545,-80.137827,05:25.5,8/20/20,8,0.077,89.23,-7.013501976,1.33,132.2,123.85,1.04,-4.47,32.5,2.09,3.3,5.39,94,21,508.8,16.2,-1.3,D,1575.1,0,39.278,2,2,128,223.91,-80.1381,25.9125,0,0,0,N,0,88,92,11,120,120,223.0726,0,9999.99,3.31,3.437,2,9,30.9,0,30.89999962,32.41,1544.78684,8/20/20,10:43:20,30.61,49.78,32.41,0.926,8.36,-81.7,-4.2,-1.1,-1796,80.9,5.07,13.1,
25.9127555,-80.13782683,05:28.2,8/20/20,10,0.083,89.23,-7.013502347,0.99,133.9,125.43,1.29,-4.3,32.5,2.13,3.31,5.44,94,21,508.8,16.2,-1.3,D,1568,0,39.278,2,2,128,223.91,-80.1381,25.9125,0,0,0,N,0,88,92,11,120,120,223.0726,0,9999.99,3.32,3.447,2,9,30.9,0,30.89999962,32.42,1544.79802,8/20/20,10:43:22,30.61,49.79,32.42,0.942,8.36,-81.9,-2.4,-0.7,-141,80.6,5.05,13.1,
25.9127565,-80.13782633,05:29.9,8/20/20,10,0.079,89.23,-7.013502511,0.96,134.2,125.71,1.14,-4.02,32.5,2.11,3.34,5.45,94,22,508.7,16.2,-1.4,D,1502.4,0,39.278,2,2,128,223.91,-80.1381,25.9125,0,0,0,N,0,88,92,11,120,120,223.0726,0,9999.99,3.35,3.477,2,9,30.9,0,30.89999962,32.44,1544.81982,8/20/20,10:43:24,30.61,49.81,32.44,0.924,8.41,-84.6,-3.3,-4.2,231,80.3,5.03,13.1,
25.91275633,-80.13782467,05:31.7,8/20/20,10,0.135,89.23,-7.0135034,0.96,135.6,127.02,1.14,-5.06,32.5,2.08,3.35,5.43,94,22,508.7,16.2,-1.4,D,1512.1,0,39.278,2,2,128,223.91,-80.1381,25.9125,0,0,0,N,0,88,92,11,120,120,223.0726,0,9999.99,3.36,3.487,2,9,30.9,0,30.89999962,32.43,1544.80912,8/20/20,10:43:26,30.61,49.8,32.43,0.936,8.36,-81.9,-3,-1,-3021,80,5.01,13.1,
25.91275617,-80.13782383,05:33.7,8/20/20,10,0.102,89.23,-7.013504379,0.96,136.5,127.86,0.75,-4.46,32.5,2.12,3.35,5.48,94,22,508.7,16.2,-1.4,D,1509.8,0,39.278,2,2,128,223.91,-80.1381,25.9125,0,0,0,N,0,88,92,11,120,120,223.0726,0,9999.99,3.36,3.487,2,9,30.9,0,30.89999962,32.43,1544.80687,8/20/20,10:43:28,30.62,49.8,32.43,0.95,8.41,-84.6,-2.9,-5.5,-2039,79.8,5,13.1,
25.91275383,-80.13782283,05:35.7,8/20/20,10,0.174,89.23,-7.013504392,0.96,136.8,128.14,1.56,-3.43,32.5,2.11,3.36,5.46,94,22,508.7,16.2,-1.3,D,1531.7,0,39.278,2,2,128,223.91,-80.1381,25.9125,0,0,0,N,0,88,92,11,120,120,223.0726,0,9999.99,3.37,3.497,2,9,30.9,0,30.89999962,32.44,1544.81897,8/20/20,10:43:30,30.62,49.81,32.44,0.906,8.36,-81.8,-2.3,0,1224,79.5,4.98,13.1,
25.91275367,-80.13782233,05:36.7,8/20/20,9,0.113,89.23,-7.013504682,1,137.4,128.7,0.68,-5.08,32.6,2.11,3.36,5.47,94,22,508.7,16.2,-1.3,D,1531.7,0,39.584,2,2,128,224.55,-80.1381,25.9125,0,0,0,N,0,88,92,11,120,120,223.0726,0,9999.99,3.37,3.497,2,9,30.9,0,30.89999962,32.44,1544.81897,8/20/20,10:43:30,30.62,49.81,32.44,0.906,8.36,-81.8,-2.3,0,1224,79.5,4.98,13.1,
25.91275317,-80.13782217,05:38.6,8/20/20,9,0.049,89.23,-7.013504935,1,138.4,129.63,1.57,-4.26,32.5,2.13,3.37,5.5,94,22,508.7,16.2,-1.3,D,1531.6,0,39.584,2,2,128,224.55,-80.1381,25.9125,0,0,0,N,0,88,92,11,120,120,223.0726,0,9999.99,3.38,3.507,2,9,30.9,0,30.89999962,32.43,1544.80988,8/20/20,10:43:33,30.62,49.81,32.43,0.934,8.39,-83.2,-2.7,-2.5,-1743,79.2,4.96,12.9,
25.91275283,-80.13782167,05:41.1,8/20/20,9,0.059,89.23,-7.013505142,1,140,131.13,1.5,-4.54,32.5,2.11,3.36,5.47,94,22,508.7,16.2,-1.3,D,1548.4,0,39.584,2,2,128,224.55,-80.1381,25.9125,0,0,0,N,0,88,92,11,120,120,223.0726,0,9999.99,3.37,3.497,2,9,30.9,0,30.89999962,32.44,1544.8194,8/20/20,10:43:35,30.62,49.82,32.44,0.917,8.38,-82.7,-3.6,-2.7,-2166,79,4.95,12.9,
25.91275333,-80.13782167,05:42.9,8/20/20,10,0.09,89.23,-7.013505242,1,140.6,131.69,0.89,-4.69,32.5,2.12,3.37,5.49,94,22,508.7,16.2,-1.3,D,1554,0,39.584,2,2,128,224.55,-80.1381,25.9125,0,0,0,N,0,88,92,11,120,120,223.0726,0,9999.99,3.38,3.507,2,9,30.9,0,30.89999962,32.44,1544.81994,8/20/20,10:43:37,30.63,49.82,32.44,0.929,8.38,-83,-2.9,-4.3,-1658,78.8,4.94,12.9,
25.91275283,-80.13782167,05:45.0,8/20/20,10,0.064,89.23,-7.013505319,0.96,141.9,132.91,0.75,-4.43,32.5,2.14,3.37,5.51,94,22,508.7,16.2,-1.4,D,1503.2,0,39.584,2,2,128,224.55,-80.1381,25.9125,0,0,0,N,0,88,92,11,120,120,223.0726,0,9999.99,3.38,3.507,2,9,31,0,30.89999962,32.44,1544.82169,8/20/20,10:43:39,30.63,49.82,32.44,0.925,8.38,-82.7,-2.7,-3.5,-999,78.6,4.92,13,
